Wops(A),Pops(A),Wera(D),Pera(D),winsW
.631,.570,4.06,4.32,1
.625,.621,4.63,3.96,0
.654,.625,4.33,4.55,1
.632,.631,3.99,4.45,1
.633,.628,3.82,4.45,1
.649,.630,3.73,4.37,0
.688,.716,3.64,3.99,1
.696,.712,3.60,4.10,1
.701,.715,3.63,4.20,1
.710,.720,3.47,4.28,0
.712,.720,3.49,4.30,0
.716,.722,3.51,4.38,1
.694,.729,3.93,4.35,1
.692,.728,3.92,4.32,0
.694,.726,3.89,4.34,1
.702,.738,3.89,4.23,0
.701,.736,3.88,4.21,1
.704,.738,3.90,4.26,1
.702,.739,3.94,4.24,0
.483,.490,5.67,6.31,1
.519,.568,6.00,5.64,0
.508,.610,5.20,4.86,0
.533,.608,4.50,4.67,1
.653,.701,3.50,3.68,0
.658,.710,3.66,3.61,0
.673,.713,3.64,3.82,1
.703,.716,4.05,3.99,1
.700,.716,4.06,3.92,0
.704,.726,4.29,4.03,0
.737,.747,4.39,4.43,1
.741,.749,4.38,4.47,1
.743,.751,4.38,4.51,1
.736,.762,4.45,4.42,0
.736,.764,4.47,4.43,0
.737,.762,4.46,4.42,1
.726,.760,4.41,4.45,0
.726,.761,4.42,4.44,0
.725,.760,4.42,4.44,1
.816,.733,4.06,4.69,1
.791,.774,4.50,4.48,0
.771,.785,4.85,4.32,0
.664,.684,3.93,3.92,1
.657,.696,4.03,3.84,0
.666,.689,3.95,3.89,1
.694,.746,4.23,4.35,0
.694,.750,4.24,4.32,0
.693,.746,4.20,4.31,1
.707,.760,4.13,4.43,0
.710,.759,4.10,4.45,1
.710,.761,4.12,4.45,0
.708,.761,4.11,4.42,0
.714,.762,4.15,4.45,0
.715,.761,4.14,4.46,1
.716,.764,4.17,4.48,0
.715,.765,4.21,4.63,1
.715,.762,4.18,4.62,1
.714,.760,4.17,4.60,0
.788,.674,3.71,4.42,1
.816,.660,3.49,4.93,1
.814,.655,3.38,4.94,1
.745,.700,3.74,4.82,1
.743,.695,3.70,4.76,0
.739,.694,3.66,4.74,1
.742,.741,3.98,4.92,0
.741,.741,4.00,4.91,0
.744,.741,4.03,4.96,1
.742,.742,4.03,4.93,0
.729,.737,4.03,4.97,1
.728,.738,4.04,4.95,0
.731,.736,4.03,4.97,1
.732,.735,3.98,5.00,0
.730,.732,3.96,4.98,1
.732,.731,3.94,5.00,1
.727,.727,4.19,4.98,1
.726,.726,4.17,4.97,1
.726,.725,4.15,4.96,1
.530,.833,4.81,5.29,0
.547,.801,4.30,5.07,1
.598,.773,3.91,5.13,1
.629,.767,3.71,5.38,1
.665,.784,4.40,5.55,0
.645,.791,4.47,5.19,0
.656,.781,4.47,5.12,0
.754,.808,5.00,5.07,0
.754,.801,4.94,5.03,1
.757,.799,4.94,5.06,1
.771,.774,4.87,4.74,1
.772,.770,4.83,4.75,1
.772,.774,4.89,4.73,0
.768,.763,5.06,4.98,0
.768,.761,5.03,4.98,1
.766,.760,5.00,4.95,0
.766,.761,5.03,4.96,0
.764,.751,5.05,4.95,1
.761,.750,5.04,4.91,0
.716,.647,4.38,4.62,0
.694,.635,4.25,4.25,0
.695,.639,4.39,4.15,0
.752,.638,5.16,5.11,0
.750,.641,5.22,5.03,0
.755,.637,5.15,5.06,1
.769,.630,5.09,5.05,1
.768,.630,5.05,5.02,1
.762,.638,5.09,4.96,0
.762,.639,5.08,5.01,1
