Wops(A),Pops(A),Wera(D),Pera(D),winsW
.648,.763,3.56,4.81,0
.645,.756,3.49,4.76,1
.647,.750,3.48,4.74,1
.646,.754,3.57,4.73,0
.695,.769,3.70,3.79,0
.695,.774,3.79,3.78,0
.696,.777,3.84,3.79,0
.726,.762,4.61,3.71,0
.730,.760,4.59,3.74,1
.730,.760,4.57,3.76,1
.729,.758,4.47,3.94,0
.728,.759,4.47,3.91,0
.728,.758,4.45,3.90,1
.728,.757,4.42,3.91,1
.662,.606,4.35,4.28,0
.668,.620,4.33,4.29,1
.662,.639,4.42,4.11,0
.660,.641,4.25,4.03,1
.698,.718,4.18,4.52,1
.696,.718,4.18,4.53,1
.700,.722,4.25,4.56,0
.736,.722,3.71,4.56,0
.735,.725,3.71,4.57,1
.741,.722,3.66,4.64,1
.748,.729,3.82,4.65,1
.744,.727,3.79,4.62,1
.743,.729,3.79,4.57,0
.741,.733,3.81,4.54,0
.728,.678,4.75,3.36,1
.727,.674,4.70,3.40,1
.734,.670,4.61,3.46,1
.777,.676,5.04,4.78,1
.776,.672,4.98,4.76,1
.781,.673,5.00,4.82,1
.780,.680,5.02,4.81,0
