Wops(A),Pops(A),Wera(D),Pera(D),winsW
.791,.689,3.33,4.06,1
.796,.682,3.25,4.16,1
.793,.679,3.25,4.11,0
.758,.684,3.32,3.98,0
.757,.685,3.30,3.97,0
.755,.681,3.26,3.96,1
.709,.589,3.19,5.01,0
.711,.579,3.09,4.97,1
.702,.586,2.94,4.67,1
.683,.605,3.40,4.30,1
.683,.602,3.34,4.30,1
.693,.608,3.38,4.45,1
.797,.737,3.10,4.62,0
.795,.740,3.18,4.60,0
.797,.737,3.16,4.61,1
.797,.734,3.17,4.61,1
.797,.734,3.08,4.72,1
.795,.736,3.11,4.71,0
.796,.736,3.11,4.73,1
.741,.756,3.75,3.63,1
.739,.758,3.74,3.62,0
.744,.756,3.71,3.68,1
.757,.750,3.51,3.91,1
.757,.747,3.49,3.91,1
.757,.745,3.47,3.92,1
.752,.745,3.48,3.89,0
.799,.789,4.00,4.27,1
.805,.778,3.90,4.42,1
.809,.777,3.90,4.56,1
.818,.799,3.33,4.44,1
.818,.799,3.34,4.43,0
.817,.799,3.35,4.42,0
