Wops(A),Pops(A),Wera(D),Pera(D),winsW
.828,.704,3.20,3.91,1
.842,.700,3.13,4.14,1
.839,.702,3.19,4.13,0
.767,.684,3.24,4.08,1
.763,.683,3.21,4.05,0
.762,.680,3.17,4.02,1
.723,.716,3.42,4.36,0
.714,.721,3.54,4.24,0
.698,.711,3.47,4.02,0
.694,.713,3.54,3.97,0
.734,.725,3.76,3.91,0
.735,.722,3.73,3.92,1
.732,.722,3.72,3.89,0
.771,.713,3.31,4.58,1
.775,.714,3.28,4.65,1
.776,.722,3.42,4.68,0
.782,.720,3.41,4.72,1
.790,.753,3.16,4.62,1
.794,.751,3.13,4.65,1
.793,.750,3.12,4.63,1
.706,.600,3.41,5.41,1
.698,.602,3.40,5.26,0
.704,.618,3.50,5.29,0
.704,.639,3.96,5.05,0
.705,.647,3.99,5.04,0
.709,.640,3.90,5.09,1
.814,.661,3.35,4.25,1
.818,.660,3.35,4.32,1
.819,.658,3.32,4.36,1
.812,.663,3.27,4.56,1
.814,.661,3.25,4.60,1
.815,.664,3.33,4.62,0
