Wops(A),Pops(A),Wera(D),Pera(D),winsW
.812,.633,3.14,4.32,0
.816,.622,3.06,4.46,1
.812,.630,3.18,4.37,0
.827,.630,3.21,4.71,1
.760,.695,3.26,4.23,1
.756,.699,3.31,4.20,0
.757,.699,3.30,4.20,1
.683,.721,3.39,4.57,0
.684,.721,3.37,4.55,1
.692,.722,3.41,4.63,1
.692,.721,3.37,4.60,1
.694,.724,3.45,4.50,1
.690,.728,3.50,4.45,0
.696,.724,3.47,4.49,1
.760,.763,3.13,4.05,1
.760,.765,3.20,4.12,1
.753,.764,3.20,4.04,0
.794,.756,3.10,4.12,1
.791,.755,3.10,4.09,0
.788,.755,3.10,4.08,0
.754,.725,3.49,3.67,1
.753,.724,3.47,3.65,0
.757,.721,3.46,3.66,1
.752,.726,3.49,3.63,0
.748,.724,3.47,3.60,0
.750,.724,3.46,3.62,1
.759,.724,3.47,3.77,1
.919,.807,5.00,5.41,0
.901,.808,4.94,5.11,0
.904,.786,4.71,5.27,1
.870,.802,4.05,5.22,1
.864,.799,4.00,5.21,1
.842,.803,4.06,4.96,0
.847,.800,4.10,5.01,1
