Wops(A),Pops(A),Wera(D),Pera(D),winsW
.761,.652,3.22,3.37,0
.762,.651,3.22,3.38,1
.757,.655,3.28,3.34,0
.754,.654,3.23,3.23,1
.757,.652,3.22,3.27,1
.756,.662,3.34,3.26,0
.753,.661,3.34,3.24,0
.683,.771,3.60,2.77,0
.688,.760,3.52,2.78,1
.687,.761,3.53,2.78,0
.687,.749,3.43,2.86,1
.688,.732,3.57,3.12,0
.700,.726,3.52,3.25,1
.698,.722,3.49,3.26,1
.768,.763,3.42,4.92,1
.776,.759,3.38,5.01,1
.777,.757,3.36,5.05,1
.779,.757,3.35,5.07,1
.796,.763,3.08,4.92,1
.798,.764,3.09,4.94,1
.799,.759,3.07,4.97,1
.742,.693,3.57,4.23,1
.744,.694,3.56,4.28,1
.750,.695,3.59,4.32,1
.756,.698,3.41,4.20,0
.758,.700,3.42,4.24,1
.756,.700,3.41,4.24,0
.809,.734,3.51,4.52,1
.807,.738,3.56,4.49,0
.817,.747,3.64,4.58,1
.816,.740,3.57,4.54,1
.814,.771,3.40,4.36,1
.811,.769,3.40,4.33,0
.810,.767,3.39,4.32,1
