Wops(A),Pops(A),Wera(D),Pera(D),winsW
.763,.663,3.33,4.66,1
.761,.664,3.36,4.63,0
.762,.662,3.32,4.64,1
.763,.657,3.28,4.66,1
.753,.680,3.35,4.56,0
.754,.678,3.34,4.56,1
.757,.679,3.38,4.61,1
.723,.681,3.59,4.40,1
.726,.681,3.59,4.44,1
.726,.681,3.61,4.42,0
.732,.685,3.69,4.47,1
.734,.686,3.67,4.50,1
.733,.688,3.68,4.49,0
.713,.729,3.45,4.15,1
.729,.742,3.52,4.24,1
.743,.740,3.50,4.29,1
.769,.725,3.41,4.67,0
.769,.726,3.42,4.65,0
.769,.725,3.44,4.64,0
.769,.725,3.44,4.63,1
.711,.714,3.58,3.39,1
.709,.719,3.63,3.35,0
.715,.718,3.60,3.44,1
.707,.713,3.57,3.40,0
.760,.712,3.48,3.87,1
.758,.711,3.49,3.84,0
.757,.712,3.53,3.82,0
.820,.744,3.56,4.15,1
.820,.742,3.54,4.14,1
.822,.736,3.48,4.16,1
.814,.745,3.36,4.72,1
.815,.746,3.38,4.74,0
.815,.742,3.35,4.76,1
.817,.743,3.38,4.78,0
