Wops(A),Pops(A),Wera(D),Pera(D),winsW
.755,.703,3.39,3.18,0
.756,.705,3.42,3.20,0
.758,.711,3.51,3.23,0
.747,.716,3.36,3.21,1
.746,.716,3.36,3.21,0
.745,.718,3.36,3.20,0
.696,.754,3.38,4.59,0
.694,.754,3.42,4.54,0
.693,.754,3.44,4.52,0
.692,.751,3.44,4.52,1
.726,.729,3.62,4.15,0
.729,.730,3.62,4.18,1
.728,.734,3.68,4.17,0
.753,.691,3.25,3.99,1
.756,.684,3.23,3.98,1
.758,.677,3.20,4.03,1
.792,.717,3.13,4.30,1
.792,.717,3.14,4.33,1
.790,.714,3.13,4.30,0
.794,.712,3.12,4.30,1
.726,.737,3.63,4.15,1
.729,.741,3.72,4.23,0
.735,.741,3.76,4.29,1
.756,.721,3.58,4.31,1
.764,.718,3.58,4.36,1
.764,.718,3.58,4.38,1
.821,.661,4.16,3.49,1
.813,.651,4.05,3.41,1
.814,.656,3.98,3.52,1
.793,.695,3.44,4.50,1
.797,.695,3.41,4.55,1
.802,.698,3.48,4.62,1
