Wops(A),Pops(A),Wera(D),Pera(D),winsW
1.021,.669,3.00,5.63,1
.885,.664,3.50,4.24,0
.953,.723,3.67,5.04,1
.822,.748,3.27,3.10,1
.847,.754,3.54,3.51,1
.830,.752,3.54,3.39,0
.795,.683,3.23,4.26,1
.790,.673,3.15,4.22,1
.785,.687,3.34,4.19,0
.777,.677,3.32,3.98,1
.773,.677,3.31,3.93,0
.774,.674,3.27,3.91,1
.743,.689,3.42,3.98,0
.746,.688,3.43,4.01,1
.746,.686,3.40,3.99,1
.745,.686,3.38,3.98,1
.738,.687,3.46,4.09,1
.737,.686,3.45,4.08,1
.739,.685,3.44,4.09,1
1.088,.343,0.00,14.00,1
.849,.246,0.00,8.50,1
.867,.269,0.00,8.00,1
.691,.666,3.60,4.74,0
.686,.668,3.66,4.63,0
.677,.653,3.52,4.50,1
.702,.646,3.76,3.91,0
.694,.640,3.72,3.85,0
.695,.633,3.68,3.89,1
.698,.706,3.43,4.55,0
.707,.709,3.46,4.61,1
.707,.706,3.46,4.58,1
.708,.703,3.43,4.57,1
.730,.696,3.83,4.54,0
.731,.693,3.81,4.55,1
.732,.693,3.80,4.57,1
.732,.688,3.65,4.38,0
.732,.689,3.65,4.38,0
.734,.690,3.65,4.41,1
1.311,.424,2.00,15.75,1
.925,.640,3.00,7.41,0
.852,.594,2.33,5.76,1
.882,.586,2.25,6.82,1
.737,.654,3.40,4.55,1
.742,.653,3.33,4.73,1
.786,.682,3.24,4.68,1
.790,.678,3.20,4.72,1
.790,.682,3.22,4.70,0
.797,.702,3.12,4.73,0
.797,.703,3.12,4.74,1
.797,.702,3.12,4.76,1
.784,.692,3.17,4.52,1
.785,.693,3.20,4.52,0
.783,.694,3.23,4.50,0
.783,.696,3.25,4.49,0
.769,.694,3.39,4.60,1
.771,.694,3.38,4.63,1
.773,.692,3.36,4.66,1
.679,.697,3.89,3.41,1
.685,.684,3.71,3.54,1
.709,.679,3.72,3.90,1
.719,.657,3.73,4.49,1
.723,.666,3.84,4.48,0
.718,.672,3.83,4.35,0
.710,.654,3.58,4.14,1
.711,.662,3.64,4.15,0
.714,.659,3.59,4.20,1
.757,.663,3.52,4.28,1
.754,.663,3.53,4.25,0
.753,.662,3.51,4.24,1
.751,.661,3.50,4.22,1
.756,.670,3.48,4.48,1
.756,.670,3.47,4.48,1
.758,.672,3.46,4.50,1
.764,.678,3.40,4.42,0
.765,.678,3.39,4.44,1
.768,.676,3.37,4.51,1
.799,.691,3.85,3.50,1
.800,.697,3.91,3.60,1
.801,.699,4.03,3.64,0
.800,.705,3.59,3.95,1
.796,.696,3.51,3.91,1
.817,.739,3.37,4.65,1
.813,.737,3.35,4.61,0
.810,.734,3.35,4.55,0
.808,.735,3.37,4.54,0
.811,.740,3.36,4.55,1
.807,.741,3.37,4.52,0
.806,.739,3.35,4.50,1
.809,.740,3.40,4.56,1
.814,.734,3.35,4.52,0
.815,.732,3.33,4.56,1
.814,.731,3.33,4.55,1
.810,.721,3.44,4.62,1
.811,.720,3.44,4.63,1
.809,.717,3.42,4.60,1
.778,.785,2.14,4.64,0
.765,.762,2.13,4.50,1
.768,.768,2.42,4.70,1
.745,.788,2.50,4.11,0
.741,.790,2.47,3.99,0
.740,.775,2.34,4.13,1
.774,.766,2.32,4.50,1
.806,.827,3.04,3.87,0
.802,.820,3.00,3.85,1
.801,.819,3.00,3.88,1
