Wops(A),Pops(A),Wera(D),Pera(D),winsW
.870,.660,3.56,3.81,0
.846,.650,3.53,3.70,0
.831,.652,3.48,3.58,0
.840,.677,3.51,3.93,1
.818,.678,3.43,3.80,0
.832,.675,3.41,3.96,1
.812,.727,3.23,3.51,0
.804,.726,3.26,3.43,0
.800,.727,3.29,3.34,0
.766,.725,3.34,3.68,0
.766,.726,3.38,3.65,0
.774,.726,3.36,3.75,1
.745,.732,3.41,3.71,1
.744,.729,3.39,3.70,1
.744,.727,3.37,3.69,1
.742,.736,3.49,3.68,0
.743,.733,3.47,3.70,1
.740,.734,3.48,3.68,0
.739,.732,3.47,3.68,1
.856,.916,3.09,3.34,0
.792,.846,3.07,3.00,0
.778,.788,2.83,2.95,1
.763,.835,3.77,3.38,0
.746,.776,3.21,4.64,1
.733,.766,3.28,4.50,0
.727,.749,3.10,4.42,1
.679,.716,3.34,3.55,1
.682,.714,3.37,3.55,0
.679,.713,3.35,3.51,0
.740,.735,3.81,3.81,1
.738,.733,3.78,3.79,1
.735,.732,3.78,3.76,0
.727,.723,3.68,3.69,1
.726,.724,3.67,3.66,0
.727,.723,3.66,3.70,1
.733,.726,3.69,3.69,0
.731,.726,3.68,3.67,0
.728,.728,3.70,3.65,0
.736,.656,3.73,4.25,0
.728,.648,3.60,4.14,1
.721,.647,3.61,4.06,0
.713,.641,3.48,4.09,1
.731,.634,3.48,4.21,0
.743,.636,3.50,4.54,1
.728,.641,3.49,4.35,0
.770,.643,3.43,4.43,0
.766,.647,3.41,4.35,0
.764,.641,3.35,4.39,1
.800,.678,3.13,4.66,1
.799,.677,3.11,4.64,1
.798,.677,3.09,4.62,1
.771,.688,3.43,4.64,0
.771,.690,3.42,4.64,1
.772,.688,3.41,4.64,1
.768,.686,3.43,4.55,1
.767,.686,3.42,4.53,0
.767,.686,3.40,4.52,1
.499,.660,1.00,0.00,0
.311,.456,1.00,0.00,0
.369,.514,0.67,1.04,1
.527,.516,0.50,3.18,1
.566,.700,2.95,3.14,0
.578,.676,2.72,2.96,1
.704,.667,3.62,3.66,0
.733,.674,3.71,4.06,1
.728,.674,3.88,4.02,0
.723,.678,3.90,3.94,0
.751,.734,3.65,4.23,1
.751,.729,3.62,4.22,1
.745,.727,3.61,4.16,0
.752,.703,3.53,3.97,0
.749,.702,3.52,3.95,0
.751,.699,3.51,3.94,1
.767,.670,3.39,3.84,1
.770,.670,3.41,3.88,1
.774,.667,3.39,3.95,1
1.017,.561,4.22,2.36,0
.968,.583,4.19,2.16,1
.945,.587,4.03,2.64,1
.807,.626,3.96,3.59,0
.812,.622,3.93,3.81,1
.800,.618,3.87,3.72,0
.812,.655,3.35,4.63,0
.812,.655,3.33,4.67,1
.808,.651,3.28,4.61,1
.804,.660,3.23,4.50,0
.808,.656,3.19,4.57,1
.813,.655,3.17,4.64,1
.819,.656,3.20,4.71,1
.819,.707,3.45,4.47,0
.817,.706,3.44,4.44,0
.816,.704,3.41,4.42,1
.810,.697,3.41,4.37,1
.809,.696,3.39,4.35,1
.810,.694,3.37,4.38,1
.932,.492,1.00,9.00,1
.992,.438,1.00,7.88,1
.931,.524,2.33,5.76,0
.835,.552,2.50,4.50,0
.787,.720,2.39,5.12,1
.767,.731,2.56,5.05,0
.765,.708,2.53,5.14,1
.805,.759,2.80,4.99,0
.810,.751,2.73,5.09,1
.806,.742,2.67,5.03,1
