Wops(A),Pops(A),Wera(D),Pera(D),winsW
.786,.740,3.23,2.72,0
.784,.735,3.16,2.76,1
.776,.737,3.16,2.73,0
.789,.730,3.44,2.62,0
.782,.725,3.42,2.59,0
.780,.717,3.35,2.59,1
.775,.719,3.37,2.58,0
.690,.828,3.45,3.86,1
.691,.819,3.41,3.90,1
.690,.815,3.45,3.85,0
.712,.782,3.50,3.77,0
.714,.779,3.48,3.79,1
.717,.778,3.51,3.85,1
.771,.741,3.32,3.50,1
.763,.741,3.38,3.44,0
.766,.740,3.37,3.53,1
.772,.735,3.21,3.72,1
.774,.733,3.22,3.81,1
.768,.730,3.20,3.75,0
.763,.730,3.19,3.68,0
.756,.733,3.49,3.71,0
.756,.733,3.50,3.69,0
.753,.733,3.50,3.67,0
.761,.735,3.46,3.76,1
.761,.732,3.44,3.75,1
.765,.730,3.44,3.81,1
.764,.730,3.45,3.79,0
.955,.722,4.24,4.00,0
.932,.722,4.25,3.64,0
.908,.738,4.50,3.50,0
.910,.741,4.86,3.77,0
.811,.720,3.37,4.12,1
.809,.718,3.35,4.11,1
.807,.718,3.33,4.09,1
