Wops(A),Pops(A),Wera(D),Pera(D),winsW
.755,.722,3.33,3.56,0
.755,.722,3.33,3.56,0
.756,.718,3.31,3.56,1
.756,.715,3.28,3.58,1
.757,.712,3.55,3.64,0
.758,.710,3.52,3.65,1
.755,.706,3.49,3.65,1
.693,.744,3.34,3.34,1
.693,.747,3.32,3.34,1
.693,.748,3.32,3.33,1
.716,.751,3.48,3.22,1
.713,.754,3.53,3.20,0
.713,.753,3.53,3.23,1
.749,.824,3.22,4.15,0
.742,.818,3.20,4.08,0
.737,.814,3.16,4.04,1
.772,.785,3.38,3.90,1
.772,.784,3.37,3.89,1
.770,.784,3.40,3.86,0
.704,.727,3.79,4.08,0
.711,.708,3.60,4.10,1
.709,.710,3.53,4.12,1
.707,.732,3.83,3.38,1
.712,.726,3.84,3.41,1
.716,.720,3.80,3.49,1
.802,.729,3.88,4.79,0
.806,.720,3.78,4.81,1
.801,.717,3.69,4.74,0
.800,.705,3.60,4.78,1
.812,.766,3.31,4.29,1
.812,.764,3.31,4.33,1
.810,.768,3.35,4.32,0
