Wops(A),Pops(A),Wera(D),Pera(D),winsW
.680,.690,3.90,4.11,1
.681,.691,3.90,4.12,1
.684,.694,3.94,4.15,0
.683,.713,4.00,4.22,0
.685,.714,4.00,4.24,1
.685,.712,3.98,4.25,1
.725,.677,3.93,5.62,1
.747,.678,3.98,5.64,1
.759,.710,4.37,5.61,0
.769,.744,4.03,5.59,1
.765,.747,4.19,5.48,0
.760,.741,4.12,5.42,1
.735,.772,4.50,4.19,0
.734,.774,4.55,4.19,0
.742,.773,4.53,4.26,1
.747,.752,4.75,4.01,0
.748,.753,4.75,4.03,1
.746,.754,4.78,4.02,0
.608,.704,5.53,3.63,0
.600,.722,5.63,3.46,0
.608,.725,5.63,3.53,0
.604,.716,5.54,3.38,0
.683,.727,4.82,3.54,1
.682,.728,4.85,3.55,0
.682,.726,4.81,3.54,1
.646,.777,4.36,4.59,1
.650,.775,4.34,4.61,1
.648,.777,4.36,4.55,0
.669,.772,4.76,4.59,0
.669,.770,4.76,4.58,0
.670,.771,4.77,4.59,0
.668,.770,4.76,4.57,0
