Wops(A),Pops(A),Wera(D),Pera(D),winsW
.493,.527,5.73,7.09,1
.514,.604,5.49,6.43,0
.515,.649,5.69,5.65,0
.642,.643,4.36,4.57,1
.640,.633,4.17,4.41,1
.653,.637,4.12,4.47,1
.674,.637,4.03,4.56,1
.689,.668,4.15,4.21,0
.689,.664,4.12,4.18,1
.691,.659,4.05,4.25,1
.689,.639,3.82,4.18,1
.689,.644,3.83,4.15,0
.690,.644,3.79,4.17,1
.705,.686,4.17,3.98,1
.706,.683,4.14,3.97,1
.704,.684,4.15,3.97,0
.704,.690,4.14,3.95,1
.702,.692,4.15,3.93,0
.704,.690,4.12,3.95,1
.620,.643,3.79,2.76,0
.600,.646,3.69,2.41,0
.582,.651,3.61,2.25,0
.692,.703,4.65,2.87,0
.684,.715,4.75,2.84,0
.678,.711,4.71,2.78,0
.709,.708,5.10,4.03,1
.712,.713,5.16,4.01,0
.713,.716,5.18,4.02,0
.731,.706,4.86,3.98,1
.730,.708,4.86,3.97,0
.733,.707,4.82,4.00,1
.743,.719,5.12,4.08,1
.742,.722,5.16,4.08,0
.746,.721,5.15,4.09,1
.749,.722,5.18,4.13,0
.738,.730,5.12,4.08,0
.737,.728,5.09,4.09,1
.738,.727,5.08,4.10,1
.722,.726,1.50,3.00,1
.730,.770,2.25,2.75,0
.732,.707,2.04,3.00,1
.700,.687,2.69,2.53,0
.724,.639,2.44,2.91,1
.709,.644,2.46,2.71,0
.739,.664,4.31,3.47,1
.741,.669,4.34,3.45,1
.753,.740,5.00,4.34,1
.754,.736,4.96,4.32,1
.750,.743,5.02,4.25,0
.750,.732,4.74,4.83,0
.753,.730,4.72,4.87,1
.753,.729,4.69,4.87,1
.750,.729,4.68,4.85,0
.749,.728,4.67,4.82,0
.754,.729,4.66,4.79,1
.759,.728,4.63,4.84,1
.760,.728,4.63,4.85,1
.745,.743,3.18,4.84,1
.714,.722,5.10,5.02,0
.732,.724,5.06,5.02,1
.738,.730,5.02,5.12,1
.730,.722,4.96,5.08,1
.716,.722,4.24,4.91,1
.716,.724,4.27,4.88,0
.716,.722,4.28,4.83,0
.720,.718,4.24,4.88,1
.708,.697,4.20,4.71,0
.705,.700,4.23,4.66,0
.702,.697,4.17,4.60,1
.722,.711,4.48,4.92,0
.721,.711,4.46,4.91,1
.721,.712,4.46,4.90,0
.720,.704,4.52,4.76,1
.722,.705,4.52,4.80,1
.723,.704,4.50,4.82,1
.723,.703,4.50,4.83,1
.862,.717,3.83,5.01,1
.863,.714,3.77,5.08,1
.860,.708,3.70,5.13,1
.831,.721,3.93,5.03,0
.836,.720,3.91,5.09,1
.832,.720,3.91,5.05,0
.842,.713,4.10,5.06,1
.841,.712,4.08,5.07,1
.837,.713,4.08,5.02,0
.839,.710,4.05,5.06,1
.837,.710,4.16,4.87,0
.840,.709,4.16,4.91,1
.836,.708,4.15,4.87,0
.837,.708,4.16,4.76,1
.838,.708,4.14,4.79,1
.840,.708,4.13,4.83,1
.832,.717,4.17,5.00,1
.833,.720,4.18,5.02,1
.831,.720,4.18,4.99,0
.832,.744,5.00,10.00,1
.679,.991,7.94,6.50,0
.838,.884,5.88,9.00,1
.713,.818,3.78,3.73,0
.715,.809,3.73,3.69,1
.722,.797,3.65,3.74,1
.750,.808,3.66,3.48,0
.745,.811,3.72,3.43,0
.747,.802,3.66,3.46,1
.747,.804,3.68,3.45,0
