Wops(A),Pops(A),Wera(D),Pera(D),winsW
.686,.665,3.93,4.51,0
.685,.668,3.91,4.47,0
.686,.666,3.84,4.43,1
.689,.670,3.87,4.37,0
.692,.667,3.85,4.38,1
.691,.670,3.87,4.36,0
.696,.664,3.38,5.37,0
.714,.702,3.87,5.34,0
.737,.684,3.68,5.52,1
.728,.754,4.79,4.07,1
.734,.755,4.77,4.13,1
.733,.752,4.73,4.12,1
.733,.750,4.69,4.13,1
.719,.717,4.55,3.46,0
.719,.717,4.54,3.47,0
.717,.713,4.46,3.47,1
.710,.726,4.47,3.61,0
.705,.724,4.44,3.57,0
.704,.725,4.43,3.55,0
.857,.767,3.72,4.33,0
.856,.767,3.71,4.33,1
.833,.767,4.15,4.61,1
.834,.768,4.16,4.61,0
.704,.661,3.40,3.67,1
.715,.680,3.57,3.69,0
.739,.668,3.48,4.22,1
.724,.646,3.22,4.07,1
.724,.669,3.46,4.02,0
.736,.660,3.37,4.12,1
