Wops(A),Pops(A),Wera(D),Pera(D),winsW
.702,.748,3.79,3.94,1
.702,.750,3.84,3.95,0
.702,.750,3.87,3.93,0
.702,.753,4.20,3.90,0
.702,.754,4.23,3.90,0
.699,.754,4.24,3.89,0
.698,.692,5.19,4.24,0
.697,.697,5.23,4.21,0
.700,.700,5.26,4.22,0
.704,.698,5.23,4.27,1
.708,.704,5.26,4.33,0
.704,.702,5.23,4.28,0
.709,.698,5.17,4.32,1
.736,.783,4.83,3.90,1
.737,.784,4.84,3.89,0
.737,.782,4.80,3.92,1
.767,.779,4.63,3.75,0
.766,.779,4.63,3.74,0
.764,.783,4.67,3.74,0
.695,.817,4.62,4.10,0
.684,.825,4.84,3.97,0
.689,.835,4.98,3.97,0
.691,.826,4.90,3.93,0
.714,.776,4.63,3.72,0
.715,.776,4.63,3.76,1
.714,.773,4.61,3.76,1
.811,.787,4.18,3.81,0
.815,.783,4.14,3.88,1
.834,.809,3.97,4.01,1
.838,.814,4.06,4.09,0
.838,.818,4.12,4.12,0
