Wops(A),Pops(A),Wera(D),Pera(D),winsW
.543,.701,2.38,1.50,0
.516,.728,3.00,1.40,0
.563,.705,3.00,1.83,1
.690,.707,2.85,3.72,1
.692,.703,2.80,3.70,1
.689,.694,2.81,3.89,1
.680,.694,3.47,4.17,1
.679,.695,3.48,4.14,0
.688,.698,3.55,4.23,1
.674,.692,3.60,4.13,0
.675,.694,3.63,4.12,0
.672,.692,3.60,4.06,0
.712,.675,3.36,4.56,1
.712,.675,3.34,4.56,1
.714,.673,3.35,4.57,1
.715,.673,3.36,4.58,1
.713,.668,3.41,4.52,1
.712,.670,3.43,4.50,0
.713,.670,3.45,4.49,0
.751,.589,3.07,4.69,1
.772,.590,3.01,4.82,1
.765,.593,2.95,4.72,1
.786,.587,2.84,4.88,1
.766,.592,2.84,4.69,0
.776,.580,2.73,4.84,1
.722,.629,3.15,4.52,0
.723,.631,3.16,4.50,0
.715,.634,3.21,4.44,0
.714,.634,3.19,4.36,0
.715,.637,3.23,4.41,1
.712,.635,3.17,4.35,1
.710,.638,3.20,4.32,0
.728,.692,3.56,4.55,1
.726,.692,3.56,4.52,0
.728,.693,3.56,4.56,1
.724,.702,3.54,4.59,0
.723,.702,3.55,4.58,0
.724,.702,3.54,4.57,0
.651,.515,0.00,6.75,1
.523,.581,1.29,3.15,0
.600,.577,1.50,3.86,1
.656,.707,3.67,4.13,0
.661,.705,3.82,4.13,0
.693,.742,4.55,4.25,1
.700,.753,4.73,4.36,0
.722,.750,4.74,4.82,1
.751,.749,4.95,4.49,0
.750,.744,4.88,4.50,1
.755,.740,4.82,4.56,1
.754,.736,4.76,4.52,1
.760,.747,5.01,4.77,0
.760,.746,5.00,4.79,1
.760,.743,4.96,4.79,1
.756,.742,5.05,4.70,0
.756,.740,5.02,4.69,1
.756,.740,5.01,4.68,1
.756,.739,4.98,4.67,1
.736,.787,3.68,3.31,0
.734,.774,3.58,3.29,1
.722,.771,3.61,3.23,0
.712,.783,3.79,3.58,0
.699,.787,3.90,3.46,0
.688,.802,4.14,3.35,0
.704,.762,4.18,3.51,0
.708,.765,4.19,3.59,1
.713,.768,4.23,3.64,0
.715,.764,4.17,3.64,1
.678,.759,4.10,3.64,0
.672,.758,4.07,3.58,0
.686,.749,4.46,3.88,0
.682,.748,4.43,3.85,0
.682,.745,4.39,3.85,1
.683,.746,4.39,3.84,0
.704,.748,4.18,3.77,0
.704,.745,4.16,3.77,1
.704,.743,4.14,3.77,1
.793,.808,5.03,4.29,1
.799,.788,4.80,4.42,1
.800,.810,5.28,4.54,0
.796,.830,5.44,4.43,0
.745,.804,4.67,4.16,0
.753,.801,4.64,4.24,1
.752,.803,4.67,4.21,0
.759,.796,4.82,4.21,0
.758,.799,4.83,4.21,0
.760,.798,4.83,4.26,1
.761,.799,4.40,4.37,0
.761,.798,4.41,4.37,0
.766,.801,4.44,4.42,1
.763,.793,4.29,4.30,0
.763,.795,4.33,4.30,0
.761,.793,4.31,4.28,0
.770,.790,4.26,4.18,1
.769,.788,4.23,4.18,1
.770,.789,4.24,4.19,1
.598,.290,0.00,1.13,1
.606,.484,1.89,1.50,0
.581,.805,5.46,1.33,0
.759,.720,5.38,4.76,0
.739,.736,5.63,4.33,0
.737,.734,5.52,3.89,0
.742,.725,5.20,4.18,1
.816,.838,4.94,4.56,0
.818,.839,4.88,4.62,1
.810,.837,4.90,4.53,0
