Wops(A),Pops(A),Wera(D),Pera(D),winsW
.679,.645,2.79,4.85,1
.673,.639,2.63,4.82,1
.690,.648,2.74,4.89,1
.691,.649,3.00,5.10,1
.683,.684,2.93,4.11,1
.681,.676,3.00,4.06,0
.680,.690,3.20,4.01,0
.666,.671,3.27,4.07,0
.667,.681,3.36,4.09,0
.665,.680,3.36,4.07,1
.670,.673,3.22,3.76,1
.670,.672,3.20,3.78,1
.673,.672,3.22,3.82,1
.704,.685,3.35,3.95,0
.706,.684,3.33,3.97,1
.707,.685,3.33,3.96,0
.716,.682,3.36,3.94,1
.715,.685,3.40,3.93,0
.713,.687,3.42,3.90,0
.529,.825,3.40,5.09,0
.528,.798,3.19,4.42,0
.535,.768,2.92,4.14,1
.720,.733,3.14,3.97,1
.724,.732,3.13,4.00,1
.717,.728,3.10,3.93,0
.726,.742,3.32,4.14,1
.724,.742,3.34,4.12,0
.724,.742,3.32,4.12,1
.722,.737,3.33,3.97,1
.721,.740,3.36,3.94,0
.719,.736,3.33,3.94,1
.721,.729,3.63,3.86,1
.724,.730,3.63,3.89,1
.725,.728,3.61,3.90,1
.725,.728,3.63,3.90,0
.729,.718,3.62,3.96,0
.733,.716,3.60,4.01,1
.734,.716,3.59,4.02,1
.625,.733,2.77,3.86,0
.578,.772,3.75,3.27,0
.596,.722,3.32,3.46,1
.753,.709,3.24,3.87,1
.748,.705,3.15,3.69,0
.736,.716,3.32,3.72,0
.715,.725,3.30,3.50,0
.730,.709,4.82,4.36,1
.730,.713,4.76,4.43,1
.716,.725,4.80,4.28,0
.774,.741,5.00,4.48,0
.775,.738,4.93,4.52,1
.774,.737,4.89,4.52,1
.755,.757,4.88,4.51,0
.756,.756,4.84,4.52,1
.755,.755,4.85,4.52,0
.759,.750,5.02,4.76,0
.759,.752,5.02,4.75,0
.758,.754,5.05,4.73,0
.738,.594,2.25,5.26,1
.757,.616,2.61,5.40,1
.736,.597,2.47,5.29,1
.701,.642,4.04,5.09,1
.696,.643,4.02,5.00,0
.692,.642,3.98,4.92,0
.693,.669,4.37,4.77,0
.693,.670,4.36,4.74,0
.691,.667,4.32,4.72,1
.687,.666,4.34,4.81,1
.686,.666,4.34,4.79,0
.685,.666,4.32,4.76,1
.702,.667,4.24,4.77,0
.706,.665,4.21,4.82,1
.705,.665,4.20,4.81,1
.706,.664,4.19,4.82,1
.703,.663,4.14,4.81,0
.702,.661,4.10,4.78,1
.701,.659,4.07,4.76,1
.768,.636,2.80,4.20,1
.734,.712,3.25,4.50,1
.744,.690,3.38,4.43,1
.728,.594,4.57,4.86,1
.732,.592,4.48,4.85,1
.734,.592,4.59,4.77,0
.725,.591,4.54,4.66,0
.716,.592,4.51,4.55,0
.755,.659,4.90,4.28,0
.755,.657,4.87,4.27,1
.757,.659,4.84,4.29,1
.757,.656,4.45,4.40,1
.758,.658,4.45,4.41,1
.759,.658,4.41,4.42,1
.762,.658,4.39,4.44,1
.769,.673,4.31,4.75,0
.768,.673,4.30,4.75,1
.770,.672,4.28,4.78,1
.769,.672,4.27,4.76,0
.722,.724,4.83,3.09,0
.732,.722,4.77,3.60,1
.731,.720,4.60,3.58,1
.787,.698,5.05,4.36,1
.796,.698,4.97,4.58,1
.799,.685,4.89,4.61,1
.795,.704,4.90,4.45,0
.788,.695,4.89,4.30,0
.791,.689,4.85,4.31,1
.780,.681,4.60,4.33,0
