Wops(A),Pops(A),Wera(D),Pera(D),winsW
.647,.671,3.11,4.43,0
.664,.666,3.05,4.71,1
.668,.659,3.00,4.73,1
.669,.667,3.60,4.46,0
.665,.669,3.61,4.41,0
.665,.665,3.56,4.38,1
.730,.722,3.15,4.84,1
.734,.722,3.18,4.85,1
.731,.716,3.10,4.82,1
.718,.720,3.10,4.51,1
.719,.715,3.05,4.46,1
.719,.723,3.12,4.45,0
.716,.722,3.14,4.41,0
.729,.785,4.72,4.15,0
.731,.792,4.89,4.15,0
.741,.801,5.07,4.25,0
.748,.771,4.85,4.23,1
.748,.768,4.76,4.23,1
.746,.771,4.81,4.17,0
.740,.770,4.75,4.11,0
.754,.689,2.59,3.95,1
.724,.698,2.78,3.76,0
.730,.678,2.58,3.72,1
.698,.710,3.89,3.37,1
.697,.709,3.89,3.36,0
.702,.723,4.08,3.41,0
.704,.725,4.17,3.47,0
.762,.785,5.35,5.15,0
.768,.794,5.45,5.18,0
.768,.783,5.32,5.16,1
.739,.778,4.86,5.07,0
.723,.763,4.70,4.87,0
.720,.760,4.67,4.79,0
