Wops(A),Pops(A),Wera(D),Pera(D),winsW
.674,.760,3.02,3.21,0
.689,.747,2.96,3.46,1
.688,.752,3.04,3.49,0
.714,.747,3.40,4.01,1
.712,.747,3.41,3.98,0
.712,.747,3.44,3.97,0
.716,.700,3.38,4.21,0
.717,.698,3.35,4.23,1
.718,.700,3.41,4.23,0
.717,.698,3.39,4.22,1
.760,.775,4.89,3.79,0
.759,.776,4.89,3.79,0
.758,.776,4.88,3.79,0
.757,.775,4.89,3.79,0
.684,.800,4.10,3.61,0
.685,.802,4.10,3.60,0
.683,.794,4.03,3.58,1
.687,.793,4.27,3.52,1
.686,.795,4.31,3.54,0
.690,.784,4.32,3.72,1
.745,.784,4.54,3.91,0
.748,.782,4.53,3.99,1
.761,.805,4.80,4.23,1
.759,.806,4.80,4.19,0
.795,.801,4.86,4.39,1
.800,.795,4.83,4.43,1
.790,.791,4.75,4.30,0
.791,.791,4.69,4.42,0
.782,.791,4.68,4.28,0
.798,.775,4.72,4.40,1
