Wops(A),Pops(A),Wera(D),Pera(D),winsW
.566,.554,2.55,3.09,1
.625,.595,2.87,3.50,1
.665,.612,2.65,3.71,1
.650,.613,2.92,4.34,0
.651,.611,2.82,4.26,1
.660,.614,2.86,4.35,1
.656,.648,3.32,4.02,1
.656,.648,3.32,4.04,1
.666,.646,3.25,4.11,1
.696,.690,3.30,4.75,1
.695,.690,3.30,4.76,1
.697,.690,3.29,4.77,1
.699,.688,3.29,4.77,1
.697,.689,3.30,4.74,1
.699,.690,3.33,4.76,0
.703,.690,3.34,4.80,1
.719,.681,3.44,4.74,0
.719,.682,3.47,4.74,0
.717,.682,3.47,4.71,0
.618,.641,1.38,6.68,1
.554,.634,1.29,5.23,0
.529,.658,2.05,4.65,0
.683,.608,3.14,3.94,1
.729,.608,2.97,4.22,1
.745,.613,3.08,4.14,0
.726,.687,3.35,4.36,1
.724,.689,3.35,4.33,0
.725,.684,3.31,4.34,1
.720,.689,3.66,4.56,1
.724,.687,3.64,4.63,1
.722,.687,3.65,4.60,0
.725,.685,3.57,4.45,1
.726,.686,3.58,4.48,1
.726,.689,3.62,4.48,0
.730,.687,3.59,4.56,1
.733,.685,3.57,4.64,1
.733,.685,3.57,4.64,1
.733,.685,3.57,4.63,0
.601,.807,3.27,4.13,1
.754,.786,3.36,5.40,1
.745,.761,3.43,5.35,1
.692,.718,3.33,4.59,0
.698,.714,3.37,4.66,1
.696,.716,3.40,4.61,0
.772,.695,4.84,4.82,1
.776,.696,4.83,4.85,1
.772,.696,4.86,4.80,0
.760,.716,4.92,4.56,1
.763,.718,4.93,4.58,1
.760,.716,4.91,4.55,0
.761,.715,4.89,4.55,1
.754,.721,4.91,4.73,1
.753,.723,4.92,4.71,0
.756,.723,4.99,4.57,0
.757,.722,4.98,4.58,1
.755,.724,5.01,4.55,0
.781,.594,2.75,5.80,1
.771,.565,2.60,5.56,1
.686,.726,4.15,3.47,1
.690,.732,4.16,3.44,0
.690,.716,4.33,3.88,1
.686,.712,4.31,3.85,0
.686,.715,4.34,3.84,0
.683,.712,4.29,3.83,1
.706,.709,4.34,3.80,1
.706,.712,4.37,3.81,0
.704,.712,4.37,3.79,0
.703,.710,4.33,3.79,1
.704,.710,4.32,3.82,1
.699,.710,4.23,3.88,0
.701,.712,4.24,3.93,1
.703,.712,4.24,3.95,1
.707,.714,4.16,4.00,1
.706,.714,4.17,3.99,0
.704,.715,4.17,3.96,0
.793,.792,5.40,4.72,1
.799,.817,5.65,4.62,0
.791,.809,5.54,4.47,0
.778,.777,5.35,4.42,1
.780,.764,5.12,4.59,1
.768,.766,5.15,4.40,0
.762,.741,4.75,4.54,0
.764,.744,4.79,4.54,0
.764,.744,4.79,4.53,0
.761,.745,4.81,4.51,0
.757,.744,4.82,4.66,0
.759,.745,4.83,4.66,1
.757,.749,4.86,4.64,0
.763,.750,4.36,4.63,1
.763,.750,4.34,4.64,1
.761,.750,4.35,4.62,0
.767,.751,4.38,4.60,1
.765,.750,4.38,4.57,0
.767,.753,4.42,4.59,0
.774,.795,5.00,5.95,0
.766,.792,5.07,5.69,0
.758,.803,5.10,5.46,0
.794,.799,4.73,4.82,0
.794,.794,4.63,4.84,1
.812,.786,4.53,5.04,1
.812,.789,4.61,5.08,0
.816,.782,4.71,5.13,0
.816,.782,4.70,5.13,1
.822,.788,4.73,5.24,1
