Wops(A),Pops(A),Wera(D),Pera(D),winsW
.657,.666,3.08,3.18,0
.654,.672,3.18,3.16,0
.650,.680,3.32,3.11,0
.676,.714,3.17,3.24,0
.674,.713,3.18,3.21,0
.672,.716,3.20,3.19,0
.714,.783,3.11,4.07,0
.710,.782,3.11,4.01,0
.714,.782,3.12,4.04,1
.710,.764,3.16,4.18,0
.719,.758,3.12,4.29,1
.724,.760,3.14,4.32,1
.744,.690,5.00,4.20,1
.748,.696,4.99,4.18,0
.750,.696,4.93,4.24,1
.743,.698,4.89,4.23,0
.746,.698,4.84,4.24,1
.744,.704,4.91,4.18,0
.695,.720,4.33,4.22,0
.694,.719,4.31,4.22,1
.693,.719,4.31,4.20,0
.689,.739,4.29,4.28,1
.690,.740,4.30,4.27,0
.688,.740,4.31,4.23,0
.686,.737,4.27,4.20,1
.756,.750,4.58,4.97,1
.754,.747,4.54,4.95,1
.754,.748,4.56,4.95,1
.751,.751,4.49,4.93,0
.753,.751,4.50,4.92,1
.757,.749,4.47,4.97,1
