Wops(A),Pops(A),Wera(D),Pera(D),winsW
.671,.670,3.29,4.10,1
.668,.677,3.37,4.06,0
.669,.676,3.39,4.02,0
.662,.660,3.21,3.90,1
.664,.665,3.25,3.89,0
.664,.667,3.29,3.90,0
.767,.658,2.79,4.19,0
.754,.657,2.78,4.04,0
.767,.654,2.78,4.11,1
.769,.655,2.79,4.11,1
.707,.708,3.49,4.49,0
.705,.706,3.47,4.47,1
.705,.703,3.45,4.48,1
.738,.658,5.09,4.85,1
.737,.661,5.11,4.86,0
.738,.663,5.09,4.82,0
.770,.698,4.86,4.71,1
.770,.698,4.85,4.71,1
.768,.700,4.87,4.70,0
.768,.702,4.89,4.70,0
.700,.653,3.54,4.14,1
.690,.669,3.88,4.06,0
.714,.669,3.81,4.40,1
.684,.663,4.28,4.33,0
.685,.661,4.27,4.35,1
.684,.662,4.27,4.37,1
.709,.698,4.66,3.54,0
.716,.705,4.67,3.63,1
.714,.703,4.64,3.59,0
.756,.738,4.63,4.58,1
.754,.740,4.65,4.56,0
.755,.737,4.60,4.55,1
