Wops(A),Pops(A),Wera(D),Pera(D),winsW
.673,.740,3.42,3.78,0
.676,.746,3.50,3.80,0
.677,.744,3.47,3.81,1
.654,.726,3.30,3.91,1
.653,.724,3.29,3.86,0
.652,.721,3.26,3.85,1
.779,.778,2.81,4.63,1
.782,.771,2.78,4.70,1
.778,.769,2.92,4.56,0
.713,.734,3.62,3.76,0
.713,.737,3.63,3.74,0
.716,.738,3.64,3.78,1
.714,.735,3.61,3.77,1
.720,.630,4.74,4.79,1
.727,.624,4.63,4.84,1
.728,.628,4.64,4.81,0
.766,.676,5.06,4.78,1
.768,.674,5.02,4.78,1
.774,.673,4.98,4.82,1
.701,.691,4.27,3.95,0
.702,.690,4.26,3.97,1
.704,.689,4.25,3.96,1
.702,.688,4.23,3.94,0
.699,.686,4.27,3.80,0
.698,.683,4.24,3.78,1
.697,.680,4.21,3.79,1
.737,.663,4.66,4.61,0
.740,.660,4.59,4.64,1
.747,.657,4.56,4.69,1
.757,.703,4.75,4.42,0
.752,.700,4.69,4.37,0
.757,.700,4.69,4.44,1
.755,.698,4.66,4.40,0
