Wops(A),Pops(A),Wera(D),Pera(D),winsW
.663,.731,2.90,2.81,1
.659,.740,3.08,2.79,0
.652,.746,3.20,2.72,0
.660,.735,3.13,2.79,1
.659,.712,3.23,2.70,0
.661,.716,3.29,2.69,0
.661,.713,3.22,2.66,1
.718,.778,3.31,3.83,0
.717,.775,3.29,3.81,1
.718,.774,3.31,3.81,0
.716,.774,3.61,4.04,1
.714,.779,3.65,4.02,0
.717,.781,3.66,4.02,1
.773,.748,4.92,4.05,1
.770,.751,4.92,4.02,0
.765,.753,4.94,3.97,0
.772,.751,4.97,3.92,0
.768,.751,4.95,3.88,0
.768,.750,4.93,3.89,1
.766,.748,4.90,3.88,1
.936,.600,4.00,9.00,1
.985,.583,3.00,7.88,1
.844,.717,3.67,5.40,0
.723,.750,3.66,3.40,1
.710,.746,3.74,3.29,0
.696,.737,3.65,3.22,0
.794,.800,5.40,4.45,1
.776,.806,5.61,4.32,0
.778,.795,5.57,4.31,0
.745,.729,4.53,4.28,0
.745,.729,4.53,4.28,0
.744,.733,4.58,4.26,0
.747,.735,4.60,4.31,1
.747,.732,4.58,4.29,0
