Wops(A),Pops(A),Wera(D),Pera(D),winsW
.724,.678,3.97,4.49,0
.722,.682,3.97,4.45,0
.720,.683,4.00,4.40,0
.702,.692,3.88,3.94,0
.706,.694,3.90,4.02,1
.707,.696,3.93,4.02,0
.706,.695,3.92,4.02,1
.550,.581,2.00,3.00,0
.608,.683,3.50,3.50,0
.614,.634,2.67,3.12,1
.544,.637,3.50,2.57,0
.707,.710,4.62,4.11,1
.705,.710,4.64,4.10,0
.705,.711,4.64,4.08,0
.736,.740,4.86,4.24,1
.742,.735,4.79,4.30,1
.744,.734,4.76,4.30,1
.731,.737,4.77,4.33,0
.734,.738,4.79,4.37,1
.735,.737,4.78,4.39,1
.766,.727,4.56,4.97,1
.785,.721,4.42,5.39,1
.794,.726,4.63,5.64,1
.728,.690,3.97,4.72,1
.727,.690,3.99,4.71,0
.729,.690,4.02,4.74,1
.729,.694,4.10,4.72,0
.764,.724,4.02,5.03,1
.769,.721,4.00,5.12,1
.767,.721,3.97,5.08,1
.764,.708,4.09,4.92,1
.763,.707,4.08,4.88,0
.762,.705,4.04,4.85,1
