Wops(A),Pops(A),Wera(D),Pera(D),winsW
.741,.687,3.94,4.15,0
.734,.675,3.80,4.07,1
.726,.692,4.14,3.92,0
.725,.687,4.15,3.96,0
.705,.707,3.39,3.76,0
.705,.705,3.37,3.76,1
.710,.703,3.35,3.85,1
.688,.686,4.71,4.96,1
.693,.689,4.70,5.01,1
.697,.686,4.63,5.02,1
.706,.715,4.70,5.07,1
.707,.720,4.79,5.06,0
.702,.722,4.78,5.00,0
.690,.731,4.35,3.80,0
.692,.737,4.47,3.81,0
.707,.738,4.45,3.97,1
.726,.734,4.61,4.87,0
.729,.734,4.60,4.88,1
.730,.734,4.59,4.87,1
.756,.721,3.78,4.46,0
.757,.719,3.75,4.47,1
.758,.719,3.73,4.48,1
.760,.719,3.72,4.49,1
.764,.719,3.79,4.60,1
.763,.718,3.78,4.59,1
.763,.718,3.77,4.56,0
.763,.832,4.11,3.95,1
.762,.829,4.08,3.92,0
.764,.828,4.05,3.96,1
.772,.831,3.96,3.91,0
.774,.829,3.94,3.93,1
.775,.830,3.94,3.94,1
.775,.832,3.97,3.95,0
