Wops(A),Pops(A),Wera(D),Pera(D),winsW
.709,.733,3.73,3.85,1
.712,.730,3.70,3.88,1
.710,.728,3.70,3.87,0
.710,.724,3.63,3.86,1
.718,.745,3.36,4.01,1
.717,.747,3.37,4.01,0
.713,.747,3.38,3.97,0
.611,.718,2.79,4.04,1
.623,.716,2.74,4.11,1
.647,.705,2.69,4.32,1
.693,.684,4.69,4.33,0
.688,.690,4.75,4.30,0
.682,.688,4.76,4.22,0
.677,.690,4.76,4.19,0
.736,.792,4.39,3.83,1
.735,.787,4.37,3.79,0
.732,.788,4.37,3.79,0
.737,.826,4.86,3.64,1
.737,.827,4.88,3.70,1
.742,.821,4.83,3.73,1
.741,.819,4.80,3.74,1
.746,.777,4.26,3.67,1
.742,.780,4.31,3.71,0
.738,.783,4.37,3.66,0
.759,.779,3.78,3.77,1
.757,.779,3.79,3.75,0
.758,.777,3.77,3.77,1
.765,.832,4.01,4.51,1
.765,.832,4.01,4.52,1
.765,.831,4.01,4.53,1
.774,.832,4.05,4.45,1
.773,.831,4.04,4.43,0
.772,.831,4.05,4.42,0
