Wops(A),Pops(A),Wera(D),Pera(D),winsW
.705,.740,3.44,3.72,0
.704,.739,3.43,3.69,0
.702,.740,3.44,3.68,0
.707,.734,4.05,3.67,1
.709,.738,4.12,3.70,0
.708,.737,4.11,3.70,0
.705,.731,4.59,3.50,1
.709,.738,4.67,3.59,1
.711,.736,4.63,3.60,1
.713,.743,4.72,3.63,0
.734,.677,4.59,4.65,1
.732,.682,4.61,4.64,0
.734,.680,4.57,4.65,1
.732,.683,4.64,4.63,0
.737,.712,4.04,3.98,0
.737,.712,4.03,3.98,1
.738,.711,4.01,4.00,1
.735,.712,4.02,3.97,0
.734,.709,4.00,3.97,1
.736,.708,4.01,3.97,1
.760,.704,4.04,4.36,0
.763,.703,4.05,4.39,1
.766,.714,4.05,4.46,0
.766,.714,4.05,4.46,0
.714,.708,3.47,5.16,1
.729,.706,3.54,5.25,1
.763,.710,3.52,5.69,1
.725,.783,3.50,4.78,1
.725,.776,3.43,4.81,1
.719,.783,3.64,4.72,0
