Wops(A),Pops(A),Wera(D),Pera(D),winsW
.816,.549,2.40,4.89,1
.792,.586,2.25,4.50,0
.807,.592,2.59,4.82,0
.716,.693,4.13,4.23,0
.713,.696,4.17,4.16,0
.712,.691,4.18,4.12,0
.720,.663,3.37,3.69,1
.720,.669,3.42,3.71,0
.719,.666,3.38,3.69,1
.719,.664,3.37,3.66,0
.698,.705,3.59,4.33,1
.700,.708,3.61,4.33,0
.699,.710,3.65,4.32,0
.704,.718,3.75,4.33,0
.704,.722,3.78,4.32,0
.703,.721,3.77,4.30,0
.706,.723,4.15,4.17,1
.708,.722,4.14,4.18,1
.707,.722,4.14,4.16,0
.580,.838,3.20,2.83,1
.615,.788,2.83,3.48,1
.606,.739,2.39,3.17,1
.668,.708,3.55,3.04,0
.664,.719,3.71,3.00,0
.665,.736,3.89,3.04,0
.675,.740,4.66,3.16,1
.677,.745,4.69,3.20,0
.678,.757,4.88,3.20,0
.704,.758,4.61,3.95,1
.704,.758,4.61,3.94,0
.705,.758,4.64,3.94,0
.693,.758,4.54,4.17,0
.692,.760,4.61,4.16,0
.692,.761,4.60,4.14,0
.698,.756,4.51,4.00,0
.697,.757,4.51,3.98,0
.699,.758,4.52,4.00,1
.699,.756,4.51,4.00,1
.734,.683,4.02,4.52,1
.745,.676,3.84,4.46,1
.748,.684,3.79,4.46,1
.731,.700,4.18,4.29,0
.719,.750,4.43,4.64,0
.727,.752,4.42,4.75,1
.715,.748,4.40,4.64,0
.737,.750,4.77,4.65,1
.734,.751,4.80,4.62,0
.734,.750,4.78,4.61,1
.731,.750,4.78,4.56,0
.736,.741,4.65,4.46,0
.736,.741,4.66,4.44,0
.743,.739,4.72,4.49,0
.745,.741,4.72,4.50,0
.744,.746,4.77,4.49,0
.755,.746,4.68,4.44,0
.755,.747,4.69,4.43,0
.756,.747,4.69,4.43,1
.760,.744,4.72,4.88,0
.772,.787,5.05,5.14,0
.763,.758,4.79,4.89,1
.772,.760,4.48,4.83,0
.771,.758,4.40,4.76,1
.765,.755,4.40,4.64,0
.748,.745,4.20,4.21,0
.740,.740,4.14,4.12,0
.735,.740,4.11,4.13,1
.753,.729,3.85,4.15,1
.754,.728,3.83,4.14,1
.751,.727,3.80,4.10,0
.756,.723,3.77,4.19,0
.758,.724,3.78,4.22,1
.758,.724,3.80,4.23,0
.759,.723,3.79,4.26,1
.764,.723,3.77,4.13,1
.765,.725,3.80,4.15,0
.766,.725,3.79,4.17,1
.916,.827,9.00,6.00,0
.706,.787,6.00,3.86,0
.716,.783,4.31,4.84,0
.711,.785,4.31,4.75,0
.747,.774,4.03,5.14,1
.750,.776,4.05,5.15,1
.750,.774,4.00,5.16,1
.746,.777,4.32,5.33,0
.751,.773,4.29,5.39,1
.750,.772,4.27,5.34,0
.762,.768,4.02,5.17,1
.760,.767,4.05,5.14,0
.761,.769,4.05,5.15,1
.770,.761,3.95,5.30,1
.775,.760,3.93,5.36,1
.779,.742,4.00,5.05,1
.779,.742,4.00,5.04,0
.778,.740,3.97,5.01,1
.776,.740,3.97,4.99,0
.589,.760,3.71,6.49,0
.589,.716,3.45,5.88,1
.589,.694,3.29,5.59,1
.638,.670,3.07,6.09,1
.730,.705,3.70,5.23,0
.736,.700,3.64,5.33,1
.711,.675,3.66,5.09,1
.711,.674,3.67,5.02,0
.714,.684,3.84,5.01,0
.718,.678,3.77,5.03,1
