Wops(A),Pops(A),Wera(D),Pera(D),winsW
.710,.696,4.03,3.33,0
.708,.706,4.04,3.30,0
.708,.702,3.95,3.31,1
.713,.699,3.90,3.39,1
.693,.699,3.58,3.59,0
.694,.701,3.59,3.59,0
.695,.700,3.58,3.63,1
.686,.697,4.91,3.75,1
.674,.703,4.96,3.64,0
.685,.703,4.90,3.74,1
.704,.733,4.73,4.47,0
.701,.728,4.66,4.42,1
.702,.727,4.64,4.41,1
.703,.724,4.61,4.40,1
.729,.765,4.76,3.99,0
.731,.764,4.73,4.00,0
.736,.762,4.68,4.05,1
.736,.764,4.68,4.05,0
.730,.772,4.66,4.10,0
.727,.770,4.65,4.09,0
.730,.768,4.62,4.12,1
.724,.731,3.94,4.01,0
.719,.736,3.94,3.98,0
.710,.739,3.98,3.90,0
.713,.736,3.96,3.97,1
.759,.732,3.74,3.63,1
.760,.733,3.76,3.64,0
.758,.735,3.77,3.64,0
.748,.781,4.32,2.92,0
.747,.776,4.30,2.90,1
.748,.775,4.27,2.95,1
.761,.759,4.17,3.22,1
.762,.759,4.18,3.22,0
.763,.758,4.15,3.23,1
.759,.761,4.20,3.20,0
