Wops(A),Pops(A),Wera(D),Pera(D),winsW
.960,.136,0.00,9.00,1
.744,.370,1.50,4.76,0
.821,.344,1.00,5.76,1
.746,.546,3.00,4.50,0
.722,.624,3.71,4.30,1
.725,.642,3.88,4.18,0
.733,.637,3.77,4.26,1
.705,.726,3.64,3.99,0
.704,.725,3.65,4.01,1
.709,.717,3.59,4.07,1
.722,.712,3.51,3.92,1
.726,.711,3.49,3.97,1
.725,.712,3.48,4.00,1
.702,.721,3.81,4.31,0
.703,.722,3.81,4.31,1
.703,.725,3.87,4.30,0
.707,.733,3.99,4.28,0
.707,.735,4.03,4.27,0
.706,.736,4.06,4.24,0
.682,.725,4.80,4.07,1
.692,.734,4.81,4.15,1
.697,.724,4.71,4.26,1
.703,.746,4.63,4.00,1
.703,.751,4.72,4.03,0
.702,.755,4.75,4.03,0
.696,.754,4.74,3.99,0
.705,.752,4.64,4.42,0
.707,.751,4.62,4.43,1
.708,.752,4.62,4.45,1
.704,.752,4.64,4.33,0
.704,.750,4.64,4.32,0
.704,.750,4.66,4.30,0
.702,.761,4.56,4.42,0
.704,.759,4.54,4.47,1
.704,.758,4.52,4.47,1
.700,.758,4.50,4.41,0
.698,.759,4.50,4.38,0
.700,.757,4.48,4.40,1
.709,.824,4.91,6.00,0
.715,.727,4.25,5.20,1
.698,.731,4.72,4.50,0
.685,.720,4.42,4.08,0
.684,.687,4.10,4.11,1
.721,.670,3.89,4.48,1
.710,.700,4.28,3.81,0
.711,.701,4.34,3.84,0
.718,.704,4.40,3.85,0
.740,.760,4.71,4.41,1
.743,.759,4.70,4.44,1
.745,.758,4.68,4.45,1
.758,.758,4.72,4.56,1
.756,.755,4.69,4.54,1
.757,.753,4.66,4.57,1
.755,.749,4.66,4.67,1
.755,.749,4.67,4.66,0
.754,.751,4.69,4.65,0
.755,.750,4.67,4.66,1
.691,.586,4.02,5.11,1
.688,.625,4.02,4.42,0
.705,.600,3.74,4.28,1
.710,.621,3.89,4.11,0
.803,.680,4.35,4.86,1
.805,.672,4.25,4.78,1
.792,.673,4.26,4.68,0
.723,.700,3.93,4.73,0
.724,.705,4.00,4.69,0
.744,.718,4.00,4.82,1
.746,.719,4.00,4.88,1
.749,.719,4.01,4.89,1
.751,.719,4.02,4.92,1
.756,.740,3.78,4.97,1
.757,.736,3.75,4.98,1
.755,.737,3.76,4.96,0
.759,.736,3.78,4.99,1
.761,.737,3.79,5.01,1
.762,.736,3.79,5.03,1
.786,.746,4.23,5.32,1
.791,.752,4.40,5.44,0
.737,.782,4.55,5.32,1
.751,.790,4.56,5.57,1
.758,.792,4.58,5.60,1
.754,.786,4.20,4.88,1
.756,.790,4.28,4.88,0
.751,.786,4.26,4.82,0
.753,.789,4.29,4.89,1
.762,.765,4.10,5.02,0
.759,.764,4.10,4.98,0
.761,.764,4.10,4.98,1
.762,.765,4.11,4.99,1
.779,.748,4.09,4.92,1
.780,.749,4.11,4.94,1
.781,.748,4.08,4.95,1
.778,.743,4.01,4.96,1
.780,.743,4.01,5.01,1
.781,.746,4.03,4.99,0
.646,.624,2.88,4.37,1
.669,.621,2.97,4.59,1
.667,.652,3.05,4.77,1
.738,.636,3.54,5.06,0
.742,.633,3.45,5.24,1
.733,.623,3.35,5.16,1
.734,.641,3.54,5.17,1
.729,.642,3.60,5.13,0
.732,.648,3.56,5.24,1
.729,.653,3.62,5.19,0
