Wops(A),Pops(A),Wera(D),Pera(D),winsW
.708,.773,3.38,4.07,0
.708,.773,3.38,4.05,1
.706,.773,3.39,4.03,0
.692,.775,3.40,3.80,0
.693,.776,3.46,3.80,0
.692,.775,3.47,3.78,0
.663,.682,2.83,3.60,1
.660,.706,3.13,3.56,0
.662,.721,3.30,3.54,0
.704,.772,4.74,3.80,1
.706,.772,4.73,3.82,1
.705,.772,4.72,3.81,0
.732,.727,4.65,4.20,1
.731,.725,4.57,4.21,1
.730,.726,4.60,4.20,0
.732,.718,4.63,4.57,0
.730,.716,4.58,4.53,0
.728,.717,4.57,4.50,0
.726,.720,4.60,4.50,0
.751,.734,4.37,4.64,1
.753,.728,4.29,4.60,1
.753,.728,4.29,4.61,1
.755,.723,4.24,4.60,1
.750,.736,3.99,4.68,1
.752,.734,3.97,4.70,1
.754,.734,3.96,4.73,1
.754,.650,4.48,3.42,0
.743,.674,4.73,3.31,0
.738,.683,4.70,3.34,0
.749,.674,4.57,3.46,0
.739,.683,4.67,3.33,0
.732,.684,4.65,3.33,0
