Wops(A),Pops(A),Wera(D),Pera(D),winsW
.590,.672,3.74,3.66,1
.588,.677,3.82,3.56,0
.594,.684,3.83,3.60,1
.614,.701,4.19,4.24,1
.602,.712,4.35,4.08,0
.612,.722,4.46,4.11,0
.655,.682,4.61,3.91,0
.658,.684,4.67,3.92,0
.659,.681,4.60,3.92,1
.672,.672,4.61,3.91,1
.674,.672,4.60,3.97,1
.679,.671,4.57,4.05,1
.678,.672,4.59,4.03,0
.688,.673,4.88,4.56,0
.689,.671,4.84,4.57,1
.687,.676,4.86,4.54,0
.683,.670,4.90,4.56,0
.681,.670,4.88,4.54,0
.679,.670,4.86,4.52,0
.645,.581,3.89,4.66,1
.638,.589,3.90,4.55,0
.643,.587,3.89,4.58,1
.651,.622,3.79,4.59,0
.641,.621,3.75,4.48,0
.651,.617,3.66,4.50,1
.681,.642,4.32,4.33,1
.684,.641,4.28,4.34,1
.686,.640,4.25,4.34,1
.679,.659,4.34,4.44,1
.678,.660,4.32,4.39,0
.678,.661,4.33,4.42,1
.677,.661,4.31,4.39,0
.681,.688,4.57,4.56,0
.680,.689,4.56,4.55,0
.678,.690,4.54,4.51,0
.689,.703,4.58,4.57,0
.687,.706,4.63,4.55,0
.686,.706,4.64,4.54,0
.721,.714,4.51,4.21,1
.722,.703,4.33,4.18,1
.730,.694,4.20,4.25,1
.719,.747,4.92,4.69,1
.719,.743,4.85,4.66,1
.716,.749,5.00,4.60,0
.710,.750,4.98,4.54,0
.720,.737,4.61,4.77,1
.720,.736,4.56,4.76,1
.719,.735,4.53,4.72,1
.721,.737,4.54,4.74,1
.720,.733,4.54,4.69,1
.719,.732,4.52,4.66,1
.725,.738,4.72,4.78,1
.723,.741,4.75,4.75,0
.722,.742,4.75,4.73,0
.724,.741,4.65,4.76,0
.723,.741,4.65,4.74,0
.722,.740,4.62,4.72,1
.697,.918,7.27,5.00,0
.738,.780,5.03,4.05,1
.689,.924,6.83,3.41,0
.710,.780,3.38,3.27,0
.710,.762,3.21,3.35,1
.700,.770,3.46,3.27,0
.709,.771,3.32,3.85,1
.703,.771,3.35,3.74,0
.695,.781,3.59,3.64,0
.725,.767,3.48,3.50,1
.721,.766,3.43,3.45,0
.720,.762,3.36,3.47,1
.713,.750,3.99,3.79,0
.713,.750,4.01,3.80,0
.711,.749,4.01,3.79,0
.710,.748,4.00,3.77,0
.707,.746,4.19,3.76,0
.707,.743,4.16,3.76,1
.706,.742,4.14,3.75,1
.868,.728,4.00,11.25,1
.983,.825,5.00,10.13,1
.946,.708,3.67,8.63,1
.743,.791,4.33,4.27,0
.743,.790,4.34,4.22,1
.740,.799,4.50,4.18,0
.743,.794,4.56,4.23,1
.742,.796,4.61,4.21,0
.743,.802,4.69,4.23,0
.738,.790,4.62,4.20,0
.739,.794,4.67,4.21,0
.743,.794,4.66,4.26,1
.751,.795,4.60,4.22,0
.754,.795,4.59,4.23,1
.752,.794,4.56,4.21,0
.754,.795,4.56,4.25,1
.751,.794,4.54,4.22,1
.750,.791,4.51,4.21,1
.750,.791,4.51,4.21,0
.789,.707,4.57,3.82,1
.762,.724,4.74,3.76,0
.790,.761,5.50,4.09,1
.793,.776,5.58,4.32,0
.789,.776,5.61,4.31,0
.793,.776,5.54,4.33,1
.794,.779,5.11,4.20,1
.793,.771,4.95,4.18,1
.806,.782,5.21,4.36,0
