Wops(A),Pops(A),Wera(D),Pera(D),winsW
.598,.652,3.91,5.28,1
.593,.652,3.71,4.98,0
.593,.667,3.99,4.73,0
.607,.702,4.28,3.97,0
.599,.717,4.38,3.80,0
.600,.708,4.28,3.85,1
.660,.685,4.81,3.77,1
.658,.686,4.76,3.76,1
.662,.687,4.78,3.81,1
.686,.687,4.75,3.96,0
.686,.687,4.72,3.99,1
.688,.685,4.70,3.99,1
.688,.682,4.66,3.97,1
.681,.688,4.84,3.99,1
.679,.688,4.82,3.98,0
.678,.687,4.80,3.95,0
.683,.694,4.71,4.01,0
.683,.694,4.72,4.00,0
.684,.694,4.69,4.02,1
.646,.764,3.94,4.14,0
.641,.766,3.91,4.10,1
.643,.765,3.95,4.13,1
.654,.761,3.91,3.97,0
.652,.758,3.83,3.93,1
.655,.752,3.79,3.92,1
.681,.739,4.32,4.02,0
.678,.737,4.29,3.98,0
.680,.734,4.25,3.99,1
.677,.738,4.29,3.95,0
.681,.732,4.25,3.94,1
.678,.732,4.26,3.90,0
.677,.738,4.33,3.87,0
.678,.725,4.53,3.96,1
.679,.724,4.51,3.96,1
.678,.726,4.52,3.93,0
.678,.723,4.46,3.96,1
.680,.721,4.43,3.99,1
.680,.720,4.42,3.99,0
.740,.720,4.19,4.03,1
.740,.712,4.08,3.96,1
.712,.737,4.82,4.67,0
.706,.740,4.84,4.61,0
.705,.747,4.95,4.54,0
.698,.752,4.66,4.63,0
.701,.750,4.62,4.63,1
.707,.749,4.60,4.69,1
.716,.759,4.68,4.55,0
.717,.761,4.70,4.54,0
.720,.758,4.66,4.57,1
.722,.762,4.70,4.60,0
.721,.759,4.73,4.62,1
.720,.756,4.70,4.60,1
.722,.760,4.74,4.63,0
.721,.756,4.70,4.61,1
.726,.752,4.74,4.66,1
.728,.750,4.72,4.68,1
.731,.749,4.68,4.72,1
.596,.599,4.61,3.96,1
.737,.576,4.09,5.75,1
.724,.588,4.20,5.48,0
.700,.630,3.76,4.76,0
.695,.630,3.70,4.62,0
.699,.623,3.57,4.63,1
.713,.679,3.79,4.78,1
.711,.677,3.77,4.74,0
.709,.681,3.85,4.74,0
.715,.675,3.81,4.81,1
.715,.673,3.78,4.79,1
.718,.672,3.77,4.82,1
.718,.672,3.77,4.83,1
.709,.669,3.90,4.77,0
.711,.670,3.90,4.80,1
.710,.668,3.89,4.77,0
.717,.664,3.95,4.88,1
.716,.663,3.95,4.87,1
.715,.664,3.97,4.86,0
.819,.606,4.75,5.28,1
.803,.653,5.20,5.12,0
.793,.630,4.71,4.81,1
.753,.615,4.33,4.36,0
.758,.607,4.17,4.36,1
.775,.625,4.34,4.67,1
.770,.619,4.23,4.70,1
.735,.643,4.48,4.24,0
.735,.643,4.49,4.22,0
.732,.652,4.51,4.22,0
.743,.648,4.54,4.27,0
.741,.653,4.60,4.27,0
.746,.656,4.61,4.35,1
.742,.668,4.63,4.70,0
.745,.668,4.61,4.74,1
.743,.667,4.61,4.71,0
.744,.673,4.54,4.74,1
.745,.673,4.53,4.75,1
.746,.673,4.53,4.74,0
.493,.728,5.00,1.00,0
.783,.633,3.00,4.24,1
.841,.837,5.67,4.50,0
.785,.704,5.19,4.63,0
.794,.698,5.09,4.80,1
.795,.701,5.13,4.76,0
.800,.705,5.12,4.92,1
.795,.702,5.09,4.85,0
.791,.711,5.20,4.78,0
.785,.714,5.23,4.71,0
