Wops(A),Pops(A),Wera(D),Pera(D),winsW
.651,.674,4.57,4.36,0
.651,.674,4.56,4.33,0
.652,.680,4.62,4.34,0
.655,.682,4.63,4.36,0
.681,.691,4.69,4.14,0
.681,.691,4.68,4.12,0
.680,.691,4.70,4.09,0
.629,.672,4.02,5.49,1
.651,.685,4.13,5.75,1
.654,.708,4.36,5.65,0
.643,.723,3.92,4.53,0
.646,.721,3.90,4.57,1
.648,.724,3.94,4.54,0
.657,.723,3.87,4.59,1
.699,.777,4.69,4.09,0
.698,.777,4.68,4.07,0
.699,.775,4.65,4.08,1
.708,.769,4.56,4.09,1
.712,.771,4.61,4.13,0
.712,.769,4.59,4.14,1
.697,.725,3.63,3.53,0
.696,.731,3.73,3.52,0
.692,.729,3.72,3.48,1
.696,.728,3.85,3.40,0
.699,.724,3.81,3.41,1
.705,.732,3.88,3.50,1
.748,.755,3.79,4.37,1
.743,.760,3.84,4.27,0
.741,.756,3.84,4.22,0
.735,.767,4.01,4.15,0
.744,.764,4.05,4.34,1
.751,.760,4.01,4.39,1
.742,.770,4.11,4.33,0
