Wops(A),Pops(A),Wera(D),Pera(D),winsW
.703,.692,3.04,4.28,1
.699,.694,3.08,4.28,0
.698,.691,3.03,4.25,1
.690,.684,2.90,4.01,1
.692,.685,2.92,4.07,1
.689,.685,2.91,4.03,0
.782,.596,4.46,4.49,1
.794,.611,4.53,4.70,1
.789,.616,4.49,4.61,0
.792,.617,4.43,4.68,1
.737,.662,4.25,4.39,1
.735,.666,4.28,4.39,0
.734,.665,4.26,4.37,0
.575,.602,3.49,4.00,1
.607,.661,3.38,3.89,1
.660,.711,3.61,3.74,1
.672,.749,4.06,4.55,0
.679,.756,4.11,4.56,0
.689,.756,4.12,4.65,1
.695,.755,4.12,4.75,1
.731,.752,4.09,3.82,0
.730,.752,4.11,3.80,0
.727,.749,4.09,3.77,0
.724,.749,4.07,3.70,1
.723,.748,4.08,3.68,0
.720,.748,4.07,3.66,0
.716,.771,5.02,4.28,0
.721,.770,5.00,4.33,1
.725,.768,4.93,4.32,1
.720,.775,5.14,4.21,0
.722,.785,5.21,4.26,0
.722,.785,5.23,4.24,0
