Wops(A),Pops(A),Wera(D),Pera(D),winsW
.685,.678,3.08,4.03,1
.688,.675,3.04,4.06,1
.690,.675,3.01,4.09,1
.720,.681,3.13,3.98,1
.720,.683,3.14,3.97,0
.720,.682,3.13,3.99,1
.720,.680,3.12,3.97,1
.795,.743,4.02,4.07,1
.789,.742,4.01,4.01,0
.784,.739,4.00,3.97,0
.776,.735,3.98,3.93,0
.737,.740,4.17,3.99,0
.734,.738,4.16,3.97,0
.732,.736,4.13,3.95,0
.703,.710,3.90,4.34,1
.701,.693,3.73,4.32,1
.704,.710,3.97,4.26,0
.703,.743,4.32,4.47,0
.707,.752,4.43,4.51,0
.713,.755,4.45,4.56,1
.714,.749,4.40,4.54,1
.814,.626,4.84,5.06,0
.791,.613,4.50,4.80,1
.795,.608,4.40,4.93,1
.722,.669,4.01,4.78,1
.723,.667,3.99,4.78,1
.731,.643,5.16,4.39,1
.730,.644,5.13,4.37,0
.731,.646,5.12,4.38,1
.753,.664,5.04,4.76,0
.755,.665,5.04,4.77,1
.756,.668,5.06,4.77,0
