Wops(A),Pops(A),Wera(D),Pera(D),winsW
.676,.614,3.50,6.08,1
.608,.644,4.09,4.89,0
.656,.634,3.74,4.75,1
.623,.605,3.24,4.50,1
.629,.584,3.12,4.69,1
.636,.565,2.94,4.76,1
.695,.664,3.01,4.36,0
.692,.663,3.02,4.30,0
.695,.658,2.97,4.27,1
.695,.699,2.87,4.16,0
.693,.704,2.92,4.16,0
.692,.704,2.93,4.13,0
.718,.702,3.15,4.25,0
.718,.704,3.19,4.25,0
.717,.707,3.21,4.24,0
.720,.712,3.19,4.23,0
.720,.711,3.19,4.25,1
.722,.710,3.18,4.29,1
.721,.712,3.19,4.30,1
.760,.702,4.48,4.81,0
.772,.676,4.11,4.88,1
.808,.658,4.02,5.19,1
.739,.710,4.28,4.40,1
.740,.713,4.33,4.39,0
.741,.710,4.30,4.40,1
.742,.718,4.26,4.23,0
.741,.720,4.27,4.21,0
.739,.722,4.28,4.18,0
.731,.729,4.08,4.32,1
.730,.728,4.07,4.28,1
.730,.730,4.09,4.31,1
.731,.729,4.06,4.30,1
.728,.723,4.07,4.23,0
.729,.726,4.09,4.23,0
.728,.729,4.10,4.20,0
.740,.731,4.17,4.11,1
.739,.730,4.15,4.11,1
.738,.729,4.15,4.09,0
.702,.778,3.85,4.29,1
.703,.764,3.74,4.21,1
.700,.768,3.78,4.14,0
.715,.765,4.37,4.25,1
.717,.766,4.34,4.29,1
.720,.765,4.34,4.27,0
.717,.768,4.34,4.24,0
.713,.773,4.12,4.08,1
.713,.774,4.11,4.08,1
.713,.772,4.08,4.06,1
.713,.771,4.06,4.06,1
.709,.757,4.18,4.15,0
.708,.759,4.20,4.15,0
.708,.747,4.26,4.05,1
.707,.747,4.27,4.04,0
.707,.749,4.30,4.02,0
.703,.755,4.29,3.99,0
.701,.754,4.26,3.97,0
.702,.755,4.26,3.98,1
.734,.692,4.24,3.28,1
.726,.695,4.24,3.27,0
.736,.684,4.12,3.40,1
.740,.726,4.24,3.47,1
.736,.726,4.22,3.45,0
.717,.725,4.39,3.57,1
.720,.725,4.37,3.61,1
.720,.724,4.34,3.60,1
.724,.723,4.31,3.63,1
.724,.724,4.32,3.65,1
.727,.735,4.09,3.85,0
.730,.733,4.07,3.89,1
.730,.735,4.09,3.89,0
.725,.741,4.07,3.85,0
.724,.740,4.05,3.83,1
.722,.739,4.04,3.83,1
.724,.741,4.03,3.77,0
.724,.739,4.00,3.76,1
.723,.741,4.05,3.77,0
.708,.780,4.89,4.34,0
.709,.777,4.88,4.41,1
.716,.784,4.96,4.47,0
.714,.782,4.95,4.43,0
.724,.783,5.03,4.54,0
.723,.787,5.03,4.52,0
.720,.788,5.04,4.48,0
.750,.776,4.95,4.64,1
.747,.775,4.93,4.59,0
.745,.776,4.90,4.55,0
.757,.770,4.95,4.51,0
.762,.769,4.91,4.59,1
.764,.770,4.91,4.61,1
.750,.769,4.99,4.69,0
.750,.768,4.98,4.67,0
.748,.769,4.99,4.64,0
.749,.766,5.23,4.48,0
.746,.767,5.27,4.45,0
.744,.768,5.26,4.43,0
.529,.591,4.00,4.25,0
.589,.620,4.40,4.70,1
.520,.642,4.17,3.91,0
.611,.659,5.15,4.26,1
.640,.669,5.14,4.55,1
.645,.668,5.05,4.59,1
.606,.670,5.16,4.46,0
.617,.678,5.24,4.51,0
.618,.672,5.07,4.53,1
.618,.677,5.05,4.54,0
