Wops(A),Pops(A),Wera(D),Pera(D),winsW
.652,.616,3.12,4.31,1
.656,.615,3.05,4.39,1
.652,.614,3.06,4.32,0
.650,.621,3.04,4.26,0
.693,.643,2.90,4.22,1
.693,.642,2.89,4.22,1
.690,.638,2.83,4.14,1
.737,.679,4.30,4.25,0
.737,.680,4.29,4.28,1
.739,.681,4.27,4.29,1
.731,.678,4.20,4.45,0
.731,.677,4.18,4.45,1
.732,.679,4.19,4.44,0
.735,.678,4.17,4.49,1
.674,.751,4.15,4.82,0
.677,.747,4.13,4.86,1
.673,.737,4.03,4.78,1
.707,.696,4.31,4.74,0
.706,.695,4.26,4.72,1
.705,.696,4.23,4.70,1
.708,.694,4.21,4.72,1
.748,.704,4.40,3.26,0
.738,.703,4.30,3.15,0
.730,.701,4.36,3.09,0
.722,.697,4.27,3.01,0
.720,.719,4.53,3.90,0
.718,.719,4.51,3.88,0
.718,.716,4.47,3.88,1
.754,.745,5.01,4.74,0
.756,.742,4.96,4.75,1
.753,.739,4.92,4.70,0
.743,.744,5.04,4.60,0
.745,.745,5.03,4.60,1
.745,.749,5.08,4.58,0
