Wops(A),Pops(A),Wera(D),Pera(D),winsW
.700,.680,3.03,4.17,1
.696,.681,3.02,4.12,0
.696,.674,2.98,4.12,1
.694,.678,3.04,4.06,0
.697,.663,2.88,3.96,1
.698,.662,2.87,3.96,1
.696,.661,2.86,3.97,1
.801,.642,4.13,4.54,0
.788,.665,4.42,4.30,0
.788,.648,4.20,4.53,1
.734,.711,4.24,4.51,1
.730,.709,4.22,4.47,0
.730,.706,4.18,4.47,1
.717,.702,4.21,4.67,0
.715,.703,4.22,4.65,0
.718,.702,4.19,4.67,1
.718,.700,4.19,4.68,1
.717,.702,4.20,4.66,0
.716,.700,4.18,4.62,1
.762,.665,4.03,4.18,1
.761,.662,3.98,4.13,0
.758,.666,4.00,4.08,0
.760,.664,4.07,4.10,0
.720,.664,4.19,4.10,1
.719,.664,4.19,4.09,0
.721,.665,4.19,4.12,1
.678,.697,4.37,3.87,0
.678,.696,4.33,3.89,1
.688,.695,4.28,3.96,1
.690,.692,4.25,4.00,1
.732,.729,5.06,4.50,1
.735,.728,5.03,4.53,1
.737,.729,5.08,4.57,1
