Wops(A),Pops(A),Wera(D),Pera(D),winsW
.692,.735,3.00,3.69,1
.697,.737,3.02,3.76,1
.698,.733,3.00,3.78,1
.718,.735,3.16,3.66,1
.718,.738,3.19,3.66,0
.718,.735,3.17,3.66,1
.720,.734,3.14,3.67,1
.753,.722,4.38,3.38,1
.752,.734,4.53,3.37,0
.754,.734,4.57,3.41,0
.751,.734,4.57,3.39,0
.735,.731,4.17,3.71,1
.736,.730,4.16,3.71,1
.735,.730,4.17,3.73,1
.713,.682,4.35,4.69,0
.711,.680,4.30,4.63,0
.711,.679,4.31,4.61,0
.723,.675,4.19,4.70,1
.723,.679,4.25,4.69,0
.720,.679,4.23,4.65,0
.761,.697,4.14,4.38,1
.764,.703,4.16,4.44,1
.762,.709,4.18,4.33,0
.737,.703,4.16,3.96,1
.740,.708,4.24,4.00,0
.739,.706,4.21,4.00,1
.736,.705,4.20,3.99,0
.669,.599,2.54,3.22,1
.669,.602,2.54,3.22,0
.754,.704,5.06,4.43,1
.753,.704,5.06,4.42,0
.752,.701,5.04,4.43,1
.752,.700,5.02,4.43,1
