Wops(A),Pops(A),Wera(D),Pera(D),winsW
.633,.739,2.90,2.36,0
.637,.728,2.84,2.28,0
.636,.726,2.79,2.21,0
.636,.749,3.06,2.58,0
.644,.749,3.12,2.73,1
.650,.747,3.12,2.75,1
.695,.712,2.84,2.63,0
.697,.711,2.83,2.66,1
.697,.712,2.84,2.67,1
.698,.712,2.86,2.71,1
.711,.709,3.24,2.61,0
.712,.709,3.24,2.60,0
.714,.708,3.25,2.63,1
.719,.717,3.21,2.72,1
.717,.716,3.21,2.71,0
.720,.714,3.19,2.73,1
.720,.718,3.20,2.89,0
.721,.718,3.19,2.92,1
.720,.721,3.24,2.91,0
.893,.446,1.00,4.50,1
.773,.582,2.25,4.42,1
.800,.540,1.86,4.78,1
.794,.807,4.26,3.75,1
.792,.810,4.33,3.73,0
.799,.810,4.35,3.92,1
.774,.796,4.22,4.20,0
.770,.794,4.18,4.14,0
.765,.798,4.24,4.11,0
.749,.780,4.37,3.92,1
.748,.777,4.33,3.94,1
.749,.776,4.34,3.96,1
.746,.777,4.35,3.93,0
.729,.774,4.13,4.03,0
.730,.778,4.17,4.03,0
.731,.777,4.15,4.03,1
.736,.766,4.18,4.08,0
.734,.767,4.19,4.08,0
.734,.767,4.21,4.08,0
.654,.617,4.07,4.66,0
.655,.608,3.95,4.39,0
.644,.618,3.85,4.15,0
.715,.743,4.33,4.10,1
.714,.743,4.31,4.14,1
.713,.744,4.35,4.13,0
.714,.750,4.17,3.98,1
.712,.749,4.17,3.94,0
.712,.750,4.14,3.94,1
.712,.764,4.26,3.89,0
.714,.767,4.32,3.93,0
.717,.767,4.31,3.95,1
.717,.767,4.30,3.97,1
.709,.765,4.28,3.90,0
.709,.764,4.28,3.89,0
.707,.765,4.29,3.86,0
.700,.767,4.25,3.90,0
.702,.766,4.26,3.95,1
.703,.765,4.24,3.95,1
.740,.732,4.23,3.27,1
.746,.722,4.15,3.35,1
.743,.709,4.00,3.42,1
.762,.704,4.06,3.51,1
.758,.707,4.05,3.46,0
.752,.705,4.09,3.47,0
.752,.712,4.24,3.54,0
.752,.706,4.16,3.53,1
.750,.705,4.15,3.51,0
.742,.703,4.16,3.45,0
.738,.722,4.22,3.90,1
.737,.726,4.26,3.90,0
.736,.725,4.24,3.87,0
.728,.736,4.11,3.69,0
.728,.734,4.07,3.68,1
.726,.734,4.08,3.65,0
.725,.734,4.02,3.72,0
.725,.735,4.06,3.73,0
.724,.734,4.05,3.73,1
.663,.762,2.89,4.70,0
.688,.748,3.32,4.50,0
.675,.773,4.25,4.24,0
.674,.769,4.16,4.19,1
.666,.759,4.07,4.13,1
.678,.762,4.12,4.28,1
.760,.719,5.03,4.05,0
.757,.717,4.98,4.04,1
.757,.717,5.00,4.05,0
.754,.718,4.91,4.09,0
.753,.718,4.90,4.08,0
.754,.726,4.95,4.12,0
.752,.727,4.95,4.10,0
.747,.719,5.00,4.07,0
.745,.719,4.99,4.05,0
.748,.722,5.04,4.08,0
.757,.734,5.06,3.89,1
.756,.735,5.08,3.87,0
.754,.734,5.06,3.84,0
.486,.998,5.63,3.00,0
.390,.902,5.63,2.00,0
.529,.766,3.96,3.00,1
.616,.720,5.14,3.35,1
.612,.717,5.00,3.32,1
.631,.708,5.01,4.08,1
.629,.711,5.03,4.03,0
.627,.711,4.98,4.00,0
.628,.705,4.98,4.00,0
.622,.702,4.93,3.94,0
