Wops(A),Pops(A),Wera(D),Pera(D),winsW
.679,.690,4.01,4.23,1
.683,.691,4.04,4.24,0
.680,.694,4.03,4.17,0
.677,.692,3.98,4.17,1
.672,.677,3.96,4.10,1
.677,.676,3.93,4.15,1
.678,.676,3.91,4.14,1
.673,.607,4.49,4.50,1
.674,.607,4.46,4.50,1
.673,.612,4.46,4.46,0
.696,.683,4.50,4.58,0
.695,.685,4.52,4.55,0
.696,.686,4.56,4.56,0
.664,.733,4.40,3.99,0
.672,.741,4.41,3.78,0
.652,.751,4.83,3.53,0
.662,.765,4.78,3.57,0
.678,.746,4.68,4.54,0
.680,.744,4.67,4.58,1
.682,.740,4.61,4.61,1
.677,.753,4.17,3.61,1
.675,.763,4.33,3.57,0
.674,.759,4.28,3.57,1
.670,.757,4.15,3.56,0
.676,.754,4.12,3.64,1
.672,.750,4.09,3.58,0
.669,.749,4.09,3.55,0
.680,.817,3.48,4.70,0
.682,.808,3.47,4.68,1
.675,.809,3.53,4.55,0
.691,.801,3.48,4.63,1
.735,.801,4.54,4.16,0
.736,.801,4.56,4.16,0
.734,.798,4.56,4.12,0
