Wops(A),Pops(A),Wera(D),Pera(D),winsW
.661,.686,3.97,3.71,0
.664,.685,3.94,3.71,1
.663,.685,3.91,3.70,1
.663,.683,3.89,3.69,1
.668,.678,3.88,3.71,1
.668,.675,3.87,3.71,1
.668,.675,3.89,3.69,0
.675,.734,4.52,4.08,0
.673,.732,4.53,4.04,0
.678,.730,4.50,4.08,1
.698,.732,4.54,3.91,0
.697,.731,4.51,3.89,1
.697,.730,4.48,3.88,1
.653,.719,4.31,4.01,1
.647,.717,4.35,3.90,0
.643,.722,4.48,3.85,0
.700,.763,4.63,4.61,0
.697,.762,4.60,4.58,0
.696,.763,4.61,4.56,0
.657,.648,4.25,4.89,0
.659,.650,4.26,4.94,1
.659,.646,4.22,4.89,1
.663,.647,4.20,4.94,1
.672,.659,4.28,4.92,0
.675,.658,4.26,4.92,1
.675,.653,4.21,4.89,1
.711,.625,3.97,4.49,1
.706,.628,4.04,4.47,0
.703,.634,4.13,4.44,0
.736,.665,4.64,4.31,0
.737,.661,4.60,4.30,1
.736,.663,4.58,4.28,0
