Wops(A),Pops(A),Wera(D),Pera(D),winsW
.672,.692,3.89,4.18,1
.670,.694,3.89,4.14,0
.671,.695,3.93,4.15,0
.668,.699,3.99,4.12,0
.688,.707,4.11,4.34,0
.687,.708,4.11,4.31,0
.688,.706,4.09,4.30,1
.653,.736,3.99,5.35,1
.645,.736,3.92,5.19,0
.657,.736,3.94,5.22,1
.656,.742,3.93,5.14,0
.705,.722,4.51,4.20,1
.702,.723,4.50,4.18,0
.707,.723,4.48,4.26,1
.670,.803,4.66,4.29,1
.672,.802,4.69,4.24,0
.668,.794,4.65,4.16,0
.666,.792,4.61,4.11,0
.681,.768,4.91,4.23,0
.685,.766,4.90,4.26,1
.682,.767,4.86,4.20,0
.420,.575,1.50,0.75,0
.675,.677,3.00,3.00,0
.667,.715,4.20,3.00,0
.670,.727,4.41,3.82,1
.670,.731,4.44,3.81,0
.674,.730,4.42,3.84,1
.726,.783,4.56,4.52,1
.726,.780,4.51,4.52,1
.730,.781,4.54,4.57,1
.729,.768,4.62,4.57,0
.727,.767,4.62,4.55,0
.726,.765,4.59,4.53,1
.725,.765,4.59,4.51,0
