Wops(A),Pops(A),Wera(D),Pera(D),winsW
.668,.679,3.97,4.58,0
.667,.679,3.97,4.55,0
.666,.680,3.98,4.53,0
.680,.689,3.98,4.74,0
.678,.689,3.99,4.72,0
.682,.690,3.99,4.75,1
.694,.658,6.10,4.55,1
.664,.642,5.79,3.95,0
.640,.640,5.31,3.61,0
.602,.631,5.13,3.23,0
.708,.678,4.49,4.31,0
.711,.679,4.50,4.35,1
.710,.681,4.51,4.35,0
.680,.695,4.65,4.71,1
.678,.693,4.60,4.68,1
.677,.698,4.64,4.63,0
.703,.716,4.74,4.57,1
.705,.715,4.74,4.57,1
.704,.712,4.69,4.56,1
.665,.711,4.36,3.85,0
.668,.710,4.34,3.88,1
.664,.711,4.35,3.84,0
.674,.710,4.38,3.74,1
.674,.710,4.39,3.72,0
.675,.709,4.38,3.74,1
.707,.735,4.09,4.23,1
.711,.741,4.16,4.26,0
.713,.743,4.21,4.27,0
.744,.746,4.60,4.59,0
.745,.745,4.58,4.59,1
.745,.742,4.56,4.58,1
