Wops(A),Pops(A),Wera(D),Pera(D),winsW
.650,.764,3.41,2.61,0
.632,.716,2.74,2.35,1
.711,.682,2.62,3.50,1
.747,.683,2.81,3.92,1
.708,.687,3.97,3.55,0
.695,.693,3.99,3.42,0
.708,.687,3.88,3.61,1
.670,.723,4.07,3.73,1
.667,.724,4.03,3.68,0
.670,.732,4.16,3.73,0
.667,.733,3.89,3.80,1
.665,.735,3.95,3.76,0
.664,.737,3.98,3.73,0
.689,.731,4.00,3.71,0
.686,.733,4.03,3.68,0
.686,.734,4.07,3.67,0
.690,.733,4.13,3.63,0
.691,.732,4.12,3.64,1
.691,.733,4.12,3.65,1
.656,.770,4.80,4.21,0
.651,.761,4.64,4.02,0
.663,.779,4.91,4.24,0
.652,.746,3.96,3.88,0
.645,.738,3.91,3.82,0
.638,.736,3.86,3.75,0
.624,.724,3.83,3.67,0
.628,.728,3.93,3.63,0
.630,.727,3.92,3.61,0
.704,.739,4.53,3.56,1
.706,.742,4.54,3.59,1
.709,.739,4.51,3.61,1
.690,.729,4.44,3.72,1
.691,.730,4.43,3.73,1
.690,.728,4.41,3.73,1
.686,.722,4.41,3.68,0
.687,.721,4.39,3.71,1
.687,.721,4.42,3.72,0
.688,.719,4.40,3.72,1
.653,.818,6.64,6.70,1
.640,.755,5.65,5.98,1
.654,.753,5.40,5.52,0
.657,.642,4.84,4.00,0
.669,.638,4.81,4.32,1
.665,.631,4.64,4.26,1
.678,.680,4.64,4.67,0
.680,.680,4.62,4.68,1
.684,.680,4.58,4.71,1
.691,.677,4.76,4.65,1
.698,.678,4.78,4.71,1
.697,.676,4.74,4.69,0
.697,.675,4.71,4.69,1
.693,.686,4.60,4.50,0
.695,.686,4.58,4.51,1
.695,.685,4.55,4.51,1
.692,.690,4.68,4.51,0
.691,.689,4.66,4.50,1
.692,.689,4.67,4.50,0
.667,.657,3.38,3.05,0
.667,.653,3.16,3.15,1
.684,.672,3.21,3.30,1
.704,.662,3.08,3.71,1
.670,.682,4.46,3.91,0
.669,.677,4.38,3.88,1
.669,.689,4.51,3.88,0
.664,.728,4.14,4.12,0
.666,.724,4.11,4.13,1
.669,.725,4.13,4.10,0
.666,.725,4.11,4.06,0
.660,.707,4.43,3.97,0
.658,.708,4.41,3.95,0
.676,.676,4.43,3.77,0
.677,.675,4.43,3.78,0
.678,.675,4.43,3.81,1
.677,.672,4.48,3.87,1
.677,.671,4.47,3.85,0
.677,.670,4.45,3.85,1
.620,.360,0.00,2.25,1
.741,.505,0.50,3.38,1
.666,.590,1.33,2.88,0
.675,.516,1.25,2.45,1
.733,.577,3.40,3.35,1
.725,.582,3.74,3.23,0
.717,.585,3.52,3.21,1
.704,.653,4.21,4.62,0
.702,.653,4.19,4.58,0
.742,.674,4.56,4.54,0
.742,.681,4.62,4.53,0
.742,.683,4.65,4.54,0
.734,.696,4.52,4.33,0
.736,.694,4.49,4.34,1
.735,.698,4.51,4.36,0
.732,.710,4.54,4.45,1
.731,.713,4.56,4.43,0
.731,.712,4.53,4.43,1
.734,.712,4.53,4.45,1
.736,.554,2.20,4.60,1
.764,.648,3.06,4.85,0
.787,.677,3.43,5.66,1
.827,.794,4.05,4.78,1
.827,.787,3.98,4.80,1
.827,.781,3.93,4.80,1
.800,.794,3.87,4.62,0
.800,.790,3.89,4.67,1
.800,.786,3.85,4.69,1
.798,.785,3.86,4.64,1
