Wops(A),Pops(A),Wera(D),Pera(D),winsW
.706,.717,4.28,4.05,0
.705,.716,4.22,4.02,1
.671,.666,4.07,3.73,0
.667,.668,4.10,3.68,0
.646,.762,4.12,3.36,0
.647,.774,4.36,3.37,0
.661,.776,4.37,3.49,1
.669,.780,4.56,3.65,0
.672,.724,4.47,4.18,1
.674,.724,4.46,4.21,1
.676,.718,4.44,4.17,1
.676,.718,4.44,4.15,1
.697,.853,3.68,4.44,1
.690,.834,3.54,4.33,1
.741,.757,4.55,5.24,1
.741,.757,4.54,5.21,0
.802,.682,4.47,5.21,0
.811,.685,4.58,5.41,1
.813,.695,4.72,5.37,0
.818,.689,3.82,5.42,1
.815,.690,3.83,5.33,0
.810,.686,3.80,5.28,1
