Wops(A),Pops(A),Wera(D),Pera(D),winsW
.669,.726,4.07,2.65,1
.668,.723,4.03,2.64,1
.669,.719,4.00,2.62,0
.665,.719,4.00,2.59,0
.681,.708,3.90,2.65,1
.683,.707,3.87,2.68,1
.684,.710,3.91,2.68,0
.656,.813,4.32,3.73,1
.650,.837,4.69,3.63,0
.651,.849,4.81,3.59,0
.708,.784,4.57,3.85,0
.706,.786,4.57,3.83,0
.705,.785,4.56,3.81,0
.706,.786,4.58,3.81,0
.700,.768,4.62,4.03,1
.699,.768,4.63,4.02,0
.699,.769,4.61,4.01,1
.693,.768,4.48,3.95,0
.694,.769,4.49,3.94,0
.693,.767,4.48,3.92,0
.694,.766,4.44,3.92,1
.661,.696,4.26,3.32,0
.667,.710,4.38,3.36,0
.660,.702,4.25,3.30,1
.662,.700,4.22,3.35,1
.672,.713,4.23,3.58,0
.671,.708,4.20,3.59,1
.671,.706,4.16,3.60,1
.701,.723,3.25,4.57,1
.742,.730,3.22,4.50,1
.723,.737,3.24,4.11,0
.740,.718,4.51,4.15,1
.746,.715,4.47,4.18,1
.745,.713,4.45,4.15,0
