Wops(A),Pops(A),Wera(D),Pera(D),winsW
.743,.672,3.61,4.18,1
.741,.668,3.58,4.19,1
.737,.674,3.66,4.10,0
.740,.676,3.71,4.12,0
.739,.676,3.71,4.06,0
.741,.675,3.70,4.09,1
.741,.673,3.67,4.10,1
.737,.618,3.66,4.31,0
.734,.610,3.59,4.31,1
.731,.612,3.61,4.27,0
.734,.608,3.54,4.30,1
.732,.680,3.73,4.55,1
.731,.680,3.73,4.52,0
.738,.681,3.73,4.59,1
.636,.750,4.31,4.65,0
.641,.750,4.28,4.69,1
.640,.746,4.22,4.72,1
.670,.750,4.61,4.61,0
.671,.749,4.59,4.60,1
.670,.747,4.59,4.57,0
.677,.753,4.69,4.63,0
.700,.801,3.86,3.53,1
.713,.793,3.77,3.76,1
.713,.787,3.72,3.76,1
.678,.751,3.87,3.73,0
.676,.752,3.87,3.71,0
.676,.751,3.86,3.69,0
.655,.781,4.48,4.28,0
.654,.779,4.45,4.28,1
.652,.778,4.42,4.23,0
.649,.774,4.39,4.19,0
.699,.792,4.37,4.19,0
.697,.792,4.39,4.17,0
.697,.790,4.37,4.16,1
