Wops(A),Pops(A),Wera(D),Pera(D),winsW
.684,.715,3.73,3.90,0
.695,.704,3.61,3.98,1
.694,.706,3.68,3.92,0
.694,.701,3.63,3.89,1
.736,.682,3.82,4.00,0
.738,.685,3.85,3.98,0
.738,.688,3.87,3.98,0
.731,.704,4.30,4.33,1
.747,.698,4.18,4.53,1
.756,.716,4.22,4.50,0
.732,.742,3.68,4.03,1
.729,.740,3.67,3.99,0
.728,.738,3.64,3.96,1
.675,.751,4.65,4.60,0
.674,.751,4.66,4.59,0
.677,.754,4.68,4.62,0
.680,.757,4.52,4.55,0
.683,.758,4.51,4.58,1
.682,.758,4.52,4.54,0
.743,.656,4.36,4.89,0
.738,.655,4.35,4.83,0
.739,.656,4.34,4.82,0
.738,.656,4.26,4.78,1
.725,.660,4.18,4.77,0
.729,.660,4.16,4.80,1
.729,.662,4.17,4.81,1
.649,.626,4.75,4.55,0
.648,.630,4.74,4.50,0
.648,.629,4.67,4.48,1
.700,.666,4.40,4.74,1
.700,.666,4.39,4.72,0
.700,.665,4.36,4.71,1
