Wops(A),Pops(A),Wera(D),Pera(D),winsW
.734,.665,3.76,4.57,1
.740,.664,3.74,4.60,1
.738,.661,3.68,4.57,1
.740,.701,3.67,4.11,1
.738,.701,3.68,4.09,0
.737,.698,3.64,4.10,1
1.185,.789,3.00,11.00,1
.920,.629,2.00,6.50,1
.851,.696,2.42,5.00,0
.719,.724,3.53,4.52,1
.720,.721,3.51,4.51,1
.724,.718,3.47,4.57,1
.648,.759,4.16,4.04,1
.647,.761,4.18,3.99,0
.647,.764,4.22,3.98,0
.655,.766,4.21,4.05,1
.687,.761,4.52,4.13,1
.688,.760,4.51,4.13,0
.689,.759,4.49,4.13,1
.706,.724,3.98,3.65,0
.705,.722,3.96,3.63,0
.704,.724,3.98,3.60,0
.706,.726,3.99,3.65,1
.681,.741,3.85,3.91,0
.680,.741,3.86,3.89,0
.680,.740,3.87,3.89,0
.658,.787,4.52,4.53,1
.664,.786,4.53,4.57,1
.664,.788,4.54,4.55,0
.685,.772,4.55,4.67,1
.684,.775,4.54,4.64,0
.686,.773,4.52,4.66,1
