Wops(A),Pops(A),Wera(D),Pera(D),winsW
.738,.636,3.78,4.14,1
.737,.636,3.80,4.17,1
.737,.642,3.85,4.15,0
.730,.658,3.83,4.79,1
.734,.661,3.84,4.83,1
.734,.660,3.82,4.83,1
.733,.658,3.40,4.41,1
.729,.657,3.39,4.37,0
.734,.661,3.44,4.42,1
.735,.682,3.73,4.34,0
.733,.682,3.72,4.33,0
.732,.680,3.70,4.31,1
.643,.700,4.12,4.97,1
.642,.703,4.14,4.94,0
.645,.712,4.21,4.94,0
.682,.713,4.52,4.57,1
.685,.710,4.50,4.61,1
.687,.714,4.56,4.64,0
.688,.714,4.56,4.62,0
.708,.714,3.91,3.56,0
.703,.720,3.93,3.51,0
.701,.724,4.13,3.50,0
.698,.728,4.19,3.49,0
.731,.708,4.53,3.42,1
.728,.702,4.45,3.40,1
.732,.699,4.39,3.45,1
.697,.744,4.36,4.64,0
.699,.741,4.33,4.64,1
.698,.744,4.35,4.61,0
.699,.739,4.35,4.62,1
.702,.740,4.39,4.61,0
.701,.738,4.36,4.60,1
.704,.738,4.37,4.64,1
