Wops(A),Pops(A),Wera(D),Pera(D),winsW
.740,.711,3.68,2.61,0
.739,.708,3.65,2.60,1
.737,.708,3.66,2.61,0
.735,.710,3.67,2.65,1
.734,.712,3.69,2.63,0
.734,.715,3.71,2.64,0
.731,.788,3.48,4.20,1
.728,.794,3.55,4.20,0
.726,.794,3.60,4.18,0
.729,.766,3.72,4.05,1
.729,.765,3.71,4.04,1
.728,.764,3.70,4.03,0
.726,.765,3.70,4.00,0
.646,.757,4.40,3.64,1
.638,.749,4.28,3.58,1
.640,.755,4.38,3.57,0
.684,.767,4.51,3.99,0
.686,.771,4.55,4.00,0
.685,.768,4.53,3.99,1
.685,.769,4.54,3.98,0
.715,.718,4.09,3.68,0
.714,.717,4.07,3.68,1
.712,.714,4.06,3.66,0
.717,.716,4.10,3.75,1
.675,.733,3.82,3.78,0
.675,.733,3.82,3.78,0
.673,.735,3.86,3.76,0
.682,.724,4.59,4.14,0
.685,.723,4.58,4.18,1
.682,.720,4.53,4.14,1
.710,.731,4.45,3.89,0
.707,.730,4.42,3.86,0
.710,.732,4.44,3.88,1
.707,.734,4.47,3.85,0
