Wops(A),Pops(A),Wera(D),Pera(D),winsW
.704,.686,4.28,3.97,0
.703,.686,4.27,3.94,0
.705,.686,4.28,3.98,1
.710,.686,4.31,3.96,0
.710,.684,4.28,3.94,1
.712,.684,4.29,3.96,1
.713,.686,4.29,3.96,0
.767,.711,3.96,4.05,1
.765,.714,3.98,4.02,0
.767,.714,3.99,4.03,1
.757,.713,3.99,4.08,0
.756,.713,3.97,4.07,1
.754,.718,4.01,4.05,0
.753,.717,4.01,4.03,0
.748,.690,4.62,3.88,1
.736,.688,4.55,3.79,0
.731,.704,4.79,3.72,0
.728,.706,4.84,3.66,0
.751,.731,4.53,4.52,1
.749,.730,4.49,4.50,1
.750,.732,4.50,4.51,1
.742,.727,5.28,6.08,0
.727,.711,5.04,5.83,1
.726,.705,4.95,5.74,1
.733,.703,4.02,4.89,1
.728,.702,4.02,4.84,0
.730,.700,4.00,4.88,1
.886,.725,3.90,5.12,0
.915,.729,3.72,5.70,1
.917,.730,3.83,6.52,1
.750,.718,5.19,4.97,0
.749,.716,5.15,4.95,1
.752,.717,5.19,5.00,1
