Wops(A),Pops(A),Wera(D),Pera(D),winsW
.700,.589,4.53,4.50,1
.701,.603,4.56,4.53,0
.693,.608,4.47,4.33,0
.691,.709,3.99,3.95,0
.694,.705,3.96,3.97,1
.693,.704,3.96,3.95,0
.692,.700,3.92,3.95,1
.752,.680,3.28,5.01,0
.759,.686,3.33,5.01,0
.758,.688,3.37,4.98,0
.755,.740,4.03,5.14,1
.753,.738,4.03,5.12,0
.753,.738,4.02,5.11,1
.748,.752,4.52,4.75,1
.750,.749,4.53,4.78,1
.747,.746,4.47,4.71,0
.745,.741,4.38,4.87,1
.748,.758,4.61,4.90,0
.749,.760,4.60,4.91,1
.745,.765,4.63,4.86,0
.733,.776,5.02,2.33,0
.760,.769,4.87,3.57,1
.757,.720,4.56,4.49,1
.735,.708,4.07,4.26,1
.735,.703,4.02,4.22,1
.736,.696,3.96,4.21,1
.786,.835,4.87,3.88,0
.781,.832,4.89,3.82,0
.776,.848,5.15,3.82,0
.781,.841,5.08,3.90,1
.774,.856,5.31,3.99,0
.777,.856,5.31,4.00,1
.775,.858,5.39,4.01,0
