Wops(A),Pops(A),Wera(D),Pera(D),winsW
.693,.722,3.83,3.82,0
.694,.726,3.84,3.79,0
.690,.723,3.82,3.74,0
.677,.749,3.83,3.95,0
.677,.747,3.82,3.95,1
.675,.746,3.81,3.91,0
.696,.730,3.66,4.62,1
.699,.738,3.51,4.45,1
.678,.737,3.58,4.22,0
.763,.713,3.99,4.27,1
.760,.713,3.98,4.25,0
.758,.713,3.99,4.21,0
.747,.780,4.47,3.89,0
.745,.780,4.47,3.86,0
.747,.780,4.47,3.88,1
.745,.783,4.49,3.88,0
.746,.777,4.43,3.83,1
.744,.777,4.45,3.81,0
.742,.778,4.46,3.79,0
.740,.795,3.91,3.39,0
.740,.797,3.94,3.41,0
.741,.797,3.95,3.40,0
.721,.776,4.21,3.75,0
.720,.776,4.20,3.74,0
.718,.775,4.19,3.73,1
.799,.788,4.49,3.78,0
.797,.787,4.51,3.73,0
.807,.777,4.42,3.91,1
.799,.773,4.40,3.83,0
.762,.833,5.05,4.46,0
.759,.833,5.06,4.43,0
.757,.835,5.07,4.42,0
