Wops(A),Pops(A),Wera(D),Pera(D),winsW
.704,.700,3.84,3.39,1
.706,.700,3.88,3.43,1
.700,.695,3.79,3.42,1
.690,.696,3.79,3.37,0
.687,.695,3.74,3.31,0
.690,.690,3.69,3.30,1
.685,.686,3.66,3.24,0
.730,.698,3.04,3.52,1
.734,.699,3.07,3.62,1
.734,.702,3.11,3.68,1
.772,.750,3.72,4.09,0
.767,.748,3.69,4.03,0
.769,.748,3.69,4.00,1
.736,.765,4.65,3.89,1
.743,.762,4.61,3.99,1
.744,.756,4.54,4.04,1
.748,.738,4.47,4.08,1
.749,.739,4.48,4.11,1
.746,.739,4.48,4.08,0
.739,.734,3.92,3.94,1
.740,.729,3.87,3.93,1
.734,.725,3.82,3.89,1
.738,.720,3.82,4.01,1
.736,.720,3.81,4.01,1
.736,.721,3.85,3.98,0
.736,.721,3.85,3.99,1
.757,.761,5.20,3.54,0
.756,.761,5.19,3.55,0
.753,.759,5.16,3.52,0
.761,.753,5.07,3.50,1
.762,.752,5.06,3.51,1
.762,.754,5.08,3.53,0
