Wops(A),Pops(A),Wera(D),Pera(D),winsW
.640,.633,4.85,4.24,0
.671,.609,4.50,4.17,1
.720,.635,4.95,4.70,1
.679,.625,4.24,4.30,1
.679,.619,4.08,4.18,1
.683,.611,3.98,4.18,1
.702,.726,3.96,4.53,1
.700,.728,4.02,4.50,0
.699,.727,4.00,4.49,1
.706,.731,4.21,4.46,0
.705,.729,4.19,4.45,1
.705,.731,4.22,4.43,0
.720,.725,4.29,4.30,0
.720,.726,4.31,4.32,0
.721,.723,4.28,4.33,1
.721,.721,4.25,4.34,1
.722,.730,4.14,4.26,1
.721,.732,4.17,4.24,0
.724,.731,4.15,4.27,1
.569,.272,1.13,2.00,0
.874,.454,1.59,6.00,1
.961,.504,2.77,7.00,1
.722,.639,3.71,4.46,0
.672,.665,4.25,3.95,0
.673,.646,3.95,3.63,1
.778,.736,3.72,3.96,0
.778,.744,3.84,3.96,0
.771,.738,3.80,3.93,0
.775,.746,3.67,3.93,1
.770,.746,3.63,3.86,0
.769,.744,3.66,3.87,0
.752,.747,4.03,4.29,0
.751,.749,4.06,4.31,0
.750,.753,4.14,4.28,0
.754,.761,4.19,4.40,1
.756,.764,4.22,4.40,0
.757,.763,4.19,4.43,1
.758,.762,4.18,4.45,1
.621,.755,4.58,4.13,1
.641,.715,4.19,4.16,1
.669,.725,4.41,4.43,1
.742,.696,4.58,4.06,0
.747,.695,4.49,4.00,1
.745,.690,4.42,4.02,1
.743,.730,4.67,4.24,0
.742,.734,4.74,4.24,0
.744,.731,4.71,4.26,1
.743,.742,4.38,4.52,1
.744,.744,4.40,4.56,1
.742,.745,4.40,4.52,0
.744,.770,4.45,4.51,0
.746,.769,4.44,4.55,1
.748,.767,4.42,4.58,1
.749,.766,4.41,4.61,1
.746,.760,4.45,4.58,0
.747,.759,4.47,4.59,0
.746,.758,4.47,4.57,0
.714,.662,4.75,4.55,1
.733,.672,4.88,4.75,1
.736,.680,5.01,4.68,0
.763,.692,4.60,4.89,1
.758,.687,4.51,4.81,0
.733,.692,3.89,4.77,1
.734,.699,3.98,4.77,0
.737,.702,4.02,4.78,0
.740,.701,3.96,4.79,1
.724,.730,4.06,4.83,1
.725,.733,4.09,4.83,0
.725,.739,4.16,4.85,0
.726,.727,4.10,5.01,1
.724,.728,4.11,4.99,0
.722,.724,4.16,4.93,0
.723,.725,4.16,4.94,1
.723,.724,4.14,4.93,1
.722,.722,4.13,4.92,1
.844,.783,4.18,5.94,1
.834,.778,4.11,5.87,1
.821,.802,4.33,5.68,0
.815,.814,4.45,5.50,0
.783,.811,5.19,5.25,0
.778,.812,5.20,5.20,0
.774,.811,5.13,5.11,0
.774,.794,5.10,5.09,1
.773,.797,5.17,5.07,0
.777,.796,5.18,5.10,0
.762,.763,5.29,5.07,1
.760,.765,5.30,5.04,0
.760,.764,5.28,5.04,1
.766,.766,5.11,5.00,1
.767,.769,5.15,5.01,0
.756,.749,5.05,4.89,1
.755,.748,5.06,4.87,0
.754,.747,5.05,4.85,0
.757,.747,5.03,4.90,1
.680,.636,5.66,4.56,1
.664,.632,5.60,4.33,0
.671,.643,5.66,4.31,0
.658,.649,5.61,5.02,1
.672,.645,5.44,5.20,1
.673,.635,5.29,5.18,1
.692,.628,5.31,5.13,1
.693,.632,5.25,5.14,1
.692,.639,5.19,5.13,1
.695,.635,5.16,5.22,1
