Wops(A),Pops(A),Wera(D),Pera(D),winsW
.705,.754,3.84,4.71,1
.703,.750,3.80,4.67,1
.703,.754,3.91,4.61,0
.685,.770,3.84,4.04,1
.685,.771,3.88,4.05,0
.688,.772,3.88,4.07,1
.766,.770,3.95,3.76,1
.772,.771,3.97,3.87,1
.768,.769,3.95,3.83,0
.757,.756,4.05,3.89,0
.756,.760,4.08,3.88,0
.754,.758,4.05,3.86,1
.763,.673,4.68,4.28,0
.755,.677,4.65,4.16,0
.756,.682,4.67,4.10,0
.752,.686,4.63,4.02,0
.745,.727,4.41,4.20,1
.741,.727,4.40,4.15,0
.738,.726,4.40,4.08,0
.751,.728,4.68,4.47,1
.745,.736,4.70,4.38,0
.761,.736,4.66,4.50,1
.727,.736,4.06,4.72,0
.724,.737,4.09,4.68,0
.721,.739,4.09,4.65,0
.723,.738,4.08,4.67,1
.757,.734,5.15,4.67,0
.757,.735,5.13,4.67,1
.760,.732,5.09,4.68,1
.765,.729,5.07,4.76,1
.765,.730,5.08,4.75,0
.763,.729,5.05,4.74,1
