Wops(A),Pops(A),Wera(D),Pera(D),winsW
.716,.679,2.67,3.97,1
.713,.677,2.64,3.94,1
.712,.677,2.65,3.92,0
.720,.672,2.92,4.46,0
.718,.673,2.94,4.44,0
.716,.674,2.94,4.41,0
.674,.529,4.58,4.18,1
.722,.486,4.06,5.35,1
.764,.595,4.39,6.65,1
.770,.662,3.92,4.34,1
.770,.667,3.98,4.35,0
.769,.668,4.00,4.33,0
.758,.746,3.80,4.94,1
.761,.737,3.77,4.91,1
.759,.733,3.68,4.82,1
.759,.731,3.79,4.70,1
.761,.731,3.78,4.70,1
.762,.732,3.80,4.69,0
.709,.752,3.64,3.68,0
.709,.756,3.72,3.68,0
.708,.754,3.74,3.70,0
.733,.749,3.79,3.78,1
.733,.749,3.77,3.80,1
.733,.749,3.79,3.80,0
.773,.766,4.25,4.61,1
.766,.765,4.23,4.50,0
.764,.772,4.37,4.44,0
.761,.777,4.43,4.13,0
.760,.775,4.40,4.15,1
.751,.772,4.39,4.09,0
