Wops(A),Pops(A),Wera(D),Pera(D),winsW
.732,.692,2.72,3.99,1
.732,.690,2.69,4.02,1
.731,.687,2.67,4.04,1
.708,.679,2.61,3.89,1
.711,.678,2.60,3.92,1
.711,.678,2.62,3.92,0
.783,.744,3.89,4.06,0
.782,.740,3.84,4.07,1
.780,.741,3.87,4.05,0
.774,.737,3.82,3.88,1
.778,.738,3.84,3.95,1
.775,.740,3.88,3.91,0
.774,.741,3.89,3.89,0
.759,.727,3.69,4.37,1
.758,.722,3.73,4.39,1
.758,.728,3.77,4.47,1
.746,.742,4.08,4.66,1
.744,.742,4.05,4.63,0
.743,.747,4.05,4.64,0
.745,.747,4.04,4.64,1
.703,.650,3.51,5.04,0
.702,.662,3.58,5.01,0
.704,.657,3.52,5.00,1
.723,.672,3.86,4.80,0
.722,.671,3.84,4.78,1
.724,.668,3.82,4.80,1
.729,.642,4.26,4.31,1
.734,.638,4.21,4.36,1
.729,.645,4.29,4.29,0
.732,.644,4.23,4.38,1
.727,.646,4.24,4.32,0
.724,.642,4.18,4.27,1
.726,.644,4.19,4.28,0
