Wops(A),Pops(A),Wera(D),Pera(D),winsW
.668,.629,2.50,4.36,0
.668,.629,2.43,4.38,1
.690,.601,2.13,4.39,1
.710,.578,1.92,4.77,1
.717,.586,1.99,4.78,1
.724,.601,2.24,4.63,0
.733,.658,2.70,4.52,0
.729,.655,2.64,4.47,1
.728,.659,2.65,4.50,1
.712,.697,2.60,4.14,1
.710,.694,2.58,4.13,1
.709,.696,2.60,4.12,0
.712,.710,2.85,4.28,1
.714,.710,2.86,4.29,1
.715,.709,2.86,4.29,1
.718,.707,2.89,4.35,1
.718,.707,2.89,4.35,0
.718,.706,2.87,4.35,1
.719,.707,2.91,4.34,0
.840,.719,3.90,5.37,1
.818,.720,4.16,4.82,0
.842,.660,3.70,5.13,1
.795,.722,4.22,4.57,1
.801,.721,4.20,4.67,1
.794,.719,4.19,4.60,0
.780,.720,3.92,4.49,1
.779,.718,3.87,4.48,1
.782,.721,3.92,4.54,1
.775,.720,3.93,4.47,0
.779,.717,3.90,4.52,1
.780,.715,3.86,4.50,1
.778,.729,4.02,4.31,1
.777,.727,4.00,4.29,1
.774,.725,3.99,4.26,0
.777,.736,4.09,4.19,0
.777,.736,4.07,4.19,1
.776,.736,4.05,4.20,1
.774,.734,4.04,4.18,0
.643,.788,4.37,4.13,0
.658,.784,4.29,4.23,1
.676,.769,4.10,4.11,1
.679,.762,4.09,4.16,1
.742,.792,4.06,4.43,0
.738,.776,3.90,4.36,1
.741,.787,3.94,4.35,0
.726,.758,3.86,4.21,1
.729,.762,3.93,4.22,0
.729,.763,3.98,4.24,0
.729,.764,4.01,4.24,0
.746,.759,3.82,4.17,0
.747,.759,3.82,4.18,1
.745,.759,3.81,4.15,0
.768,.753,4.00,4.10,1
.768,.754,4.00,4.10,0
.762,.751,3.98,3.99,0
.762,.752,4.00,4.02,1
.760,.751,4.01,4.00,0
.770,.734,5.03,3.92,1
.786,.766,5.06,3.94,0
.780,.714,4.18,3.79,1
.677,.660,3.86,3.84,0
.682,.664,3.70,3.90,1
.677,.670,3.64,3.76,0
.704,.728,3.53,3.46,0
.709,.722,3.48,3.51,1
.707,.724,3.48,3.47,0
.712,.729,3.75,3.45,0
.708,.727,3.73,3.41,0
.706,.724,3.71,3.41,1
.709,.722,3.68,3.47,1
.735,.730,3.74,3.93,1
.734,.730,3.73,3.93,1
.732,.729,3.71,3.90,0
.735,.742,3.78,3.77,0
.734,.745,3.83,3.78,0
.732,.743,3.82,3.76,0
.643,.815,5.63,4.00,0
.909,.807,5.29,6.50,1
.786,.825,4.68,5.00,0
.778,.836,4.91,4.75,0
.780,.813,4.31,5.38,0
.779,.826,4.56,5.30,0
.796,.818,4.47,5.34,1
.811,.796,4.34,5.29,1
.815,.793,4.28,5.26,1
.819,.785,4.18,5.27,1
.720,.774,3.98,4.73,1
.722,.774,3.98,4.77,1
.732,.776,3.93,4.72,1
.734,.774,3.92,4.73,1
.733,.773,3.92,4.70,0
.736,.767,3.79,4.61,1
.735,.767,3.80,4.58,0
.735,.768,3.81,4.59,0
.732,.696,3.74,4.45,0
.729,.692,3.69,4.40,1
.724,.707,4.02,4.37,0
.726,.703,3.99,4.36,1
.718,.709,4.05,4.29,0
.701,.708,4.00,4.16,1
.699,.708,4.00,4.10,0
.703,.704,3.96,4.21,1
.694,.706,3.94,4.13,0
.694,.702,3.90,4.16,1
